RACE,SCIENTIFIC,COMMON,ECOPATH_Num,ECOPATH_Name
79203,Gonatus pyros,fiery armhook squid,75,Squids
79208,Gonatus middendorffi,,75,Squids
79210,Berryteuthis magister,magistrate armhook squid,75,Squids
79211,Berryteuthis anonychus,,75,Squids
79250,Gonatopsis sp.,,75,Squids
79252,Gonatopsis borealis,boreopacific armhook squid,75,Squids
79302,Moroteuthis robusta,robust clubhook squid,75,Squids
79312,Onychoteuthis borealijaponicus,boreal clubhook squid,75,Squids
79340,Galiteuthis phyllura,,75,Squids
79404,Chiroteuthis calyx,,75,Squids
79406,Cranchiidae,,75,Squids
79442,Taonius pavo,,75,Squids
79443,Belonella borealis,,75,Squids
79504,Octopoteuthis deletron,,75,Squids
79512,Histioteuthis hoylei,,75,Squids
79513,Stigmatoteuthis dofleini,,75,Squids
80000,Asteroidea,sea star unid.,90,Sea stars
80010,Evasterias sp.,,90,Sea stars
80015,Evasterias troschelii,mottled sea star,90,Sea stars
80018,Diamphiodia occidentalis,,91,Brittle stars
80020,Evasterias echinosoma,giant sea star,90,Sea stars
80105,Orthasterias sp.,,90,Sea stars
80106,Orthasterias koehleri,redbanded sea star,90,Sea stars
80110,Leptasterias groenlandica,,90,Sea stars
80112,Leptasterias hylodes,Aleutian sea star,90,Sea stars
80113,Leptasterias stolocantha,,90,Sea stars
80115,Leptasterias coei,,90,Sea stars
80116,Leptasterias truculenta,giant Aleutian six-rayed star,90,Sea stars
80160,Pycnopodia helianthoides,sunflower sea star,90,Sea stars
80170,Stylasterias forreri,long-rayed star,90,Sea stars
80171,Stylasterias sp.,,90,Sea stars
80190,Tarsaster alaskanus,,90,Sea stars
80200,Lethasterias nanimensis,blackspined sea star,90,Sea stars
80201,Lethasterias sp.,,90,Sea stars
80220,Pedicellaster sp.,,90,Sea stars
80230,Pedicellaster magister,majestic sea star,90,Sea stars
80250,Stephanasterias albula,,90,Sea stars
80535,Henricia lineata,lined blood star,90,Sea stars
80536,Henricia sp. B (Clark 2006),white Henricia,90,Sea stars
80537,Henricia rhytisma,mottled Henricia,90,Sea stars
80540,Henricia sp.,,90,Sea stars
80542,Henricia sanguinolenta,sanguine sea star,90,Sea stars
80543,Henricia aspera,ridged blood star,90,Sea stars
80544,Henricia leviuscula,blood sea star,90,Sea stars
80545,Henricia aleutica,,90,Sea stars
80546,Henricia tumida,tumid sea star,90,Sea stars
80547,Henricia asthenactis,,90,Sea stars
80548,Henricia longispina,,90,Sea stars
80549,Henricia multispina,spiny Henricia,90,Sea stars
80550,Odontohenricia fisheri,,90,Sea stars
80551,Odontohenricia sp.,,90,Sea stars
80552,Odontohenricia sp. A (Clark),,90,Sea stars
80553,Odontohenricia sp. B (Clark),,90,Sea stars
80554,Odontohenricia ahearnae,,90,Sea stars
80557,Aleutihenricia federi,,90,Sea stars
80560,Henricia sp. D (Clark 2006),fuzzy henricia,90,Sea stars
80561,Henricia sp. E (Clark 2006),slender pale Henricia,90,Sea stars
80590,Leptasterias polaris,,90,Sea stars
80591,Leptasterias katharinae,,90,Sea stars
80594,Leptasterias arctica,,90,Sea stars
80595,Leptasterias sp.,,90,Sea stars
80596,Leptasterias camtschatica,,90,Sea stars
80597,Aleutihenricia beringiana,Bering Henricia,90,Sea stars
80598,Henricia dyscrita,short-spined Henricia,90,Sea stars
80601,Aleutiaster sp.,,90,Sea stars
80602,Gephyreaster swifti,Swift sea star,90,Sea stars
80603,Gephyreaster sp.,,90,Sea stars
80610,Pseudarchaster sp.,,90,Sea stars
80620,Pseudarchaster alascensis,,90,Sea stars
80629,Odontaster sp. B (Clark),,90,Sea stars
80630,Hippasteria sp.,,90,Sea stars
80631,Hippasteria kurilensis,,90,Sea stars
80632,Hippasteria armata,,90,Sea stars
80633,Hippasteria aleutica,Aleutian spiny star,90,Sea stars
80634,Hippasteria sp. B (Clark),pale spiny star,90,Sea stars
80637,Hippasteria sp. E (Clark),Alaskan spiny star,90,Sea stars
80640,Hippasteria californica,,90,Sea stars
80645,Hippasteria heathi,,90,Sea stars
80646,Hippasteria leiopelta,,90,Sea stars
80650,Hippasteria phrygiana (=spinosa),spiny red sea star,90,Sea stars
80660,Pseudarchaster parelii,scarlet sea star,90,Sea stars
80690,Mediaster sp.,,90,Sea stars
80691,Mediaster tenellus,,90,Sea stars
80710,Mediaster aequalis,vermilion sea star,90,Sea stars
80728,Ceramaster sp.,,90,Sea stars
80729,Ceramaster japonicus,red bat star,90,Sea stars
80730,Ceramaster patagonicus,orange bat sea star,90,Sea stars
80731,Ceramaster arcticus,Arctic bat sea star,90,Sea stars
80732,Ceramaster clarki,,90,Sea stars
80733,Ceramaster stellatus,,90,Sea stars
80800,Luidia sp.,,90,Sea stars
80810,Luidia foliolata,sand sea star,90,Sea stars
81060,Solaster sp.,,90,Sea stars
81061,Solaster endeca,northern sun sea star,90,Sea stars
81062,Solaster hypothrissus,,90,Sea stars
81063,Solaster hexactis,,90,Sea stars
81064,Solaster dawsoni,morning sun sea star,90,Sea stars
81065,Solaster stimpsoni,striped sun sea star,90,Sea stars
81067,Solaster sp. A (Clark 1997),,90,Sea stars
81068,Solaster spectabilis,beautiful sun star,90,Sea stars
81069,Solaster sp. D (Clark),serpent sun star,90,Sea stars
81070,Solaster sp. E (Clark),Kessler sun star,90,Sea stars
81071,Solaster sp. F (Clark),Fisher sun star,90,Sea stars
81072,Solaster sp. G (Clark),ocher sun star,90,Sea stars
81073,Solaster arcticus,,90,Sea stars
81080,Solaster paxillatus,evening sun sea star,90,Sea stars
81090,Crossaster sp.,,90,Sea stars
81092,Crossaster borealis,grooved sea star,90,Sea stars
81093,Crossaster sp. A (Clark),white rose star,90,Sea stars
81094,Crossaster sp. B (Clark),pink rose star,90,Sea stars
81095,Crossaster papposus,rose sea star,90,Sea stars
81100,Heterozonias alternatus,cannonball sun star,90,Sea stars
81120,Lophaster sp.,,90,Sea stars
81121,Lophaster sp. A (Clark),,90,Sea stars
81125,Lophaster vexator,crested star,90,Sea stars
81130,Lophaster furcilliger,crested sea star,90,Sea stars
81295,Peribolaster biserialis,,90,Sea stars
81310,Pteraster sp.,,90,Sea stars
81311,Pteraster sp. cf. temnochiton (Clark 1999),,90,Sea stars
81312,Pteraster temnochiton,cushion sea star,90,Sea stars
81313,Pteraster sp. A (Clark 1999),,90,Sea stars
81314,Pteraster sp. B (Clark 1997),,90,Sea stars
81315,Pteraster tesselatus,,90,Sea stars
81316,Pteraster jordani,,90,Sea stars
81317,Pteraster willsi,,90,Sea stars
81318,Pteraster sp. D (Clark),,90,Sea stars
81320,Pteraster militaris,wrinkled star,90,Sea stars
81321,Pteraster marssipus,,90,Sea stars
81355,Pteraster obscurus,obscure sea star,90,Sea stars
81356,Pteraster pulvillus,,90,Sea stars
81360,Diplopteraster multipes,pincushion sea star,90,Sea stars
81361,Diplopteraster sp.,,90,Sea stars
81742,Asterias amurensis,purple-orange sea star,90,Sea stars
81779,Ctenodiscus sp.,,90,Sea stars
81780,Ctenodiscus crispatus,common mud star,90,Sea stars
81820,Leptychaster sp.,,90,Sea stars
81829,Leptychaster anomalus,,90,Sea stars
81830,Leptychaster pacificus,,90,Sea stars
81835,Leptychaster arcticus,North Pacific sea star,90,Sea stars
81840,Cladaster validus,,90,Sea stars
81841,Cladaster sp.,,90,Sea stars
81850,Dipsacaster sp.,,90,Sea stars
81870,Dipsacaster borealis,northern sea star,90,Sea stars
81908,Cheiraster sp.,,90,Sea stars
81909,Cheiraster sp. A (Clark 2006),Aleutian fragile sea star,90,Sea stars
81910,Cheiraster dawsoni,fragile sea star,90,Sea stars
81912,Nearchaster variabilis,,90,Sea stars
81919,Nearchaster sp.,,90,Sea stars
81930,Astronebris tatafilius,,91,Brittle stars
82100,Anteliaster sp.,,90,Sea stars
82101,Anteliaster nannodes,,90,Sea stars
82500,Echinacea,sea urchin unid.,92,Urchins dollars cucumbers
82510,Strongylocentrotus droebachiensis,green sea urchin,92,Urchins dollars cucumbers
82511,Strongylocentrotus sp.,,92,Urchins dollars cucumbers
82520,Strongylocentrotus franciscanus,red sea urchin,92,Urchins dollars cucumbers
82522,Strongylocentrotus polyacanthus,,92,Urchins dollars cucumbers
82525,Strongylocentrotus purpuratus,purple sea urchin,92,Urchins dollars cucumbers
82526,Strongylocentrotus pallidus,white sea urchin,92,Urchins dollars cucumbers
82530,Allocentrotus fragilis,orange-pink sea urchin,92,Urchins dollars cucumbers
82535,Allocentrotus sp.,,92,Urchins dollars cucumbers
82675,Brisaster latifrons,heart urchin,92,Urchins dollars cucumbers
82730,(blank),sand dollar unid.,92,Urchins dollars cucumbers
82740,Echinarachnius parma,parma sand dollar,92,Urchins dollars cucumbers
82750,(blank),crinoid unid.,92,Urchins dollars cucumbers
82755,Heliometra glacialis,,92,Urchins dollars cucumbers
82757,Retiometra alascana,Alaskan crinoid,92,Urchins dollars cucumbers
82760,Florometra sp.,,92,Urchins dollars cucumbers
82765,Florometra inexpectata,,92,Urchins dollars cucumbers
82770,Florometra serratissima,featherstar crinoid,92,Urchins dollars cucumbers
82771,Florometra asperrima,common northern feather star,92,Urchins dollars cucumbers
82775,Fariometra sp.,dwarf feather star,92,Urchins dollars cucumbers
83000,Ophiuroidea,brittlestar unid.,91,Brittle stars
83010,Ophiuridae,,91,Brittle stars
83020,Gorgonocephalus eucnemis,basketstar,91,Brittle stars
83021,Gorgonocephalus sp. cf. arcticus,,91,Brittle stars
83022,Gorgonocephalus sp.,,91,Brittle stars
83055,Asteronychidae,,91,Brittle stars
83060,Asteronyx sp.,,91,Brittle stars
83070,Asteronyx loveni,serpent sea star,91,Brittle stars
83080,Astrochele laevis,,91,Brittle stars
83081,Astrochele sp. A (Clark 2006),,91,Brittle stars
83090,Astrochele sp.,,91,Brittle stars
83310,Ophiura sp.,,91,Brittle stars
83319,Ophiura luetkenii,gray brittle star,91,Brittle stars
83320,Ophiura sarsii,notched brittlestar,91,Brittle stars
83336,Stegophiura nodosa,,91,Brittle stars
83340,Stegophiura ponderosa,,91,Brittle stars
83342,Ophiacantha sp.,,91,Brittle stars
83343,Ophiacantha enneactis,,91,Brittle stars
83345,Ophiophthalmus cataleimmoidus,,91,Brittle stars
83360,Ophiopholis sp.,,91,Brittle stars
83390,Ophiopholis longispina,,91,Brittle stars
83391,Ophiopholis japonica,,91,Brittle stars
83400,Ophiopholis aculeata,ubiquitous brittle star,91,Brittle stars
83402,Ophioscolex sp.,,91,Brittle stars
83411,Ophiolebes sp.,,91,Brittle stars
83412,Ophiosemnotes pachybactra,thick spined brittle star,91,Brittle stars
83413,Ophiosemnotes brevispina,short spined brittle star,91,Brittle stars
83414,Ophiosemnotes tylota,,91,Brittle stars
83416,Ophiolebes sp. A (Clark 2006),,91,Brittle stars
83417,Ophiolebes sp. B (Clark 2006),,91,Brittle stars
83418,Ophiolebes sp. C (Clark 2006),,91,Brittle stars
83419,Ophiolebes sp. D (Clark 2006),,91,Brittle stars
83421,Ophiolebes sp. F (Clark 2006),,91,Brittle stars
83701,Amphiodia sp.,,91,Brittle stars
85000,Holothuroidea,sea cucumber unid.,92,Urchins dollars cucumbers
85010,Cucumaria japonica,,92,Urchins dollars cucumbers
85015,Parastichopus sp.,,92,Urchins dollars cucumbers
85016,Parastichopus leukothele,giant orange cucumber,92,Urchins dollars cucumbers
85020,Parastichopus californicus,California sea cucumber,92,Urchins dollars cucumbers
85060,Pseudostichopus sp.,,92,Urchins dollars cucumbers
85070,Pseudostichopus mollis,sandy sea cucumber,92,Urchins dollars cucumbers
85080,Chiridota sp.,,92,Urchins dollars cucumbers
85115,Molpadia sp.,,92,Urchins dollars cucumbers
85120,Molpadia intermedia,sweet sea potato,92,Urchins dollars cucumbers
85169,Pentamera lissoplaca,crescent sea cucumber,92,Urchins dollars cucumbers
85180,Bathyplotes sp.,,92,Urchins dollars cucumbers
85200,Cucumaria sp.,,92,Urchins dollars cucumbers
85201,Cucumaria fallax,sea football,92,Urchins dollars cucumbers
85202,Cucumaria frondosa,,92,Urchins dollars cucumbers
85205,Apostichopus japonicus,,92,Urchins dollars cucumbers
85209,Psolidae,,92,Urchins dollars cucumbers
85210,Psolus sp.,,92,Urchins dollars cucumbers
85211,Psolus phantapus,,92,Urchins dollars cucumbers
85212,Psolus chitonoides,,92,Urchins dollars cucumbers
85213,Psolus sp. A (Clark 2006),,92,Urchins dollars cucumbers
85219,Psolus fabricii,brownscaled sea cucumber,92,Urchins dollars cucumbers
85220,Psolus squamatus,whitescaled sea cucumber,92,Urchins dollars cucumbers
85222,Psolus japonicus,,92,Urchins dollars cucumbers
85224,Psolidium bullatum,,92,Urchins dollars cucumbers
85260,Thyonidium sp.,,92,Urchins dollars cucumbers
85270,Pannychia moseleyi,deep sea papillate cucumber,92,Urchins dollars cucumbers
85287,Synallactes sp. A (Clark 2006),,92,Urchins dollars cucumbers
85289,Synallactes sp.,,92,Urchins dollars cucumbers
85290,Synallactes challengeri,,92,Urchins dollars cucumbers
91000,Porifera,sponge unid.,102,Sponges
91002,(blank),hairy lemon sponge,102,Sponges
91005,(blank),vase sponge unid.,102,Sponges
91010,Demospongiae,,102,Sponges
91014,Haliclona sp.,,102,Sponges
91015,Suberites sp.,,102,Sponges
91016,Suberites ficus,,102,Sponges
91017,Suberites sp. A (Clark 2006),wax sponge,102,Sponges
91018,Pseudosuberites montiniger,peach sponge,102,Sponges
91019,Suberites montalbidus,stinky sponge,102,Sponges
91020,Suberites domuncula,hermit sponge,102,Sponges
91030,Aphrocallistes vastus,clay pipe sponge,102,Sponges
91035,Heterochone calyx,goblet sponge,102,Sponges
91036,Heterochone tenera,crusty tube sponge,102,Sponges
91038,Phakellia sp.,,102,Sponges
91039,Mycale sp.,,102,Sponges
91040,Mycale loveni,tree sponge,102,Sponges
91041,Mycale sp. A (Clark 2006),red mycale,102,Sponges
91042,Mycale adhaerens,smooth scallop sponge,102,Sponges
91046,Geodia mesotriaena,soccer ball sponge,102,Sponges
91047,Geodia sp.,,102,Sponges
91048,Acanthascus sp.,,102,Sponges
91049,Halichondria sp.,,102,Sponges
91050,Halichondria panicea,barrel sponge,102,Sponges
91052,Leucandra heathi,spiny vase sponge,102,Sponges
91053,Rhabdocalyptus sp.,cloud sponge,102,Sponges
91054,Mycale bellabellensis,lampshade sponge,102,Sponges
91055,(blank),brain sponge,102,Sponges
91056,(blank),funnel sponge,102,Sponges
91057,Stelodoryx oxeata,scapula sponge,102,Sponges
91059,Semisuberites cribrosa,cat-o-nine-tails sponge,102,Sponges
91060,Myxilla parasitica,scallop sponge,102,Sponges
91061,Myxilla lacunosa,sulfur sponge,102,Sponges
91062,Crella brunnea,soft brown sponge,102,Sponges
91063,Echinoclathria beringensis,hat sponge,102,Sponges
91064,Axinella blanca,firm finger sponge,102,Sponges
91065,Pachastrellidae sp. 1,mushroom sponge,102,Sponges
91066,Histodermella kagigunensis,spud sponge,102,Sponges
91067,Tedania kagalaskai,club sponge,102,Sponges
91068,Monanchora pulchra,yellow leafy sponge,102,Sponges
91069,Tethya sp.,ball sponge,102,Sponges
91071,(blank),staghorn sponge,102,Sponges
91072,(blank),orange ball sponge,102,Sponges
91073,Leucosolenia sp.,,102,Sponges
91074,Polymastia sp.,,102,Sponges
91075,Polymastia pacifica,orange nipple-ball sponge,102,Sponges
91076,(blank),orange sponge,102,Sponges
91077,(blank),yellow bowl sponge,102,Sponges
91078,Polymastia pachymastia,black-orange spud sponge,102,Sponges
91079,(blank),black papillate sponge,102,Sponges
91080,(blank),yellow green papillate sponge,102,Sponges
91081,(blank),yellow papillate sponge,102,Sponges
91082,Polymastia sp. B (Clark 2006),orange nipple ball sponge,102,Sponges
91083,(blank),orange encrusting sponge,102,Sponges
91084,(blank),firm yellow green sponge,102,Sponges
91085,Leucandra sp. A (Clark 2006),hairy vase sponge,102,Sponges
91086,Mycale carlilei,trumpet sponge,102,Sponges
91087,Leucandra tuba,,102,Sponges
91088,Isodictya rigida,soft finger sponge,102,Sponges
91089,Cladocroce attu,rough hat sponge,102,Sponges
91090,(blank),orange papillate sponge,102,Sponges
91091,Neoesperiopsis sp.,,102,Sponges
91092,Esperiopsis flagrum,cheesestick sponge,102,Sponges
91093,Amphilectus digitatus,,102,Sponges
91094,Mycale tylota,slimy kelp sponge,102,Sponges
91096,(blank),slimy antler sponge,102,Sponges
91097,Leucandra sp.,,102,Sponges
91099,Cladocroce kiska,,102,Sponges
91100,Geodia starki,pita sponge,102,Sponges
91101,Phorbas paucistylifer,,102,Sponges
91102,Inflatella globosa,yellow ball sponge,102,Sponges
91103,Acanthascus sp. A,angel-hair vase sponge,102,Sponges
91105,Stelletta sp.,stone sponge,102,Sponges
91109,Amphilectus lobatus,cotton ball sponge,102,Sponges
91110,Polymastia fluegeli,Flugel nippled sponge,102,Sponges
91111,Polymastia robusta,long nippled sponge,102,Sponges
91112,Weberella bursa,pale mammilated sponge,102,Sponges
91113,Polymastia sp. A (Clark 2006),prolific nipple sponge,102,Sponges
91114,Polymastia sp. C (Clark 2006),red nipple sponge,102,Sponges
91120,Vulcanella sp. 1,fuzzy cratered sponge,102,Sponges
91121,Vulcanella sp.,,102,Sponges
91125,Tentorium semisuberites,two nipple sponge,102,Sponges
91127,Craniella villosa,tennis ball sponge,102,Sponges
91201,Sycon compactum,hairy urn sponge,102,Sponges
91210,Oscarella lobularis,stalked ball sponge,102,Sponges
91211,Stylocordyla borealis,slender stalked sponge,102,Sponges
91212,Stylocordyla eous,,102,Sponges
91213,Stylocordyla sp.,lollypop sponge,102,Sponges
91215,Plakina tanaga,white convoluted sponge,102,Sponges
91220,Tedania dirhaphis,rough bread crumb sponge,102,Sponges
91225,Latrunculia sp.,,102,Sponges
91226,Latrunculia oparinae,green papillate sponge,102,Sponges
91227,Latrunculia sp. B (Clark 2006),smooth green sponge,102,Sponges
91228,Hymeniacidon assimilis,,102,Sponges
91230,Axinella sp.,firm gray sponge,102,Sponges
91237,Stelodoryx alaskensis,Alaskan lobed sponge,102,Sponges
91238,Echinoclathria sp. A (Clark 2006),fuzzy tree sponge,102,Sponges
91239,Echinoclathria sp.,,102,Sponges
91241,Halichondria oblonga,ginseng sponge,102,Sponges
91250,Chondrocladia gigantea,carnivorous cattail sponge,102,Sponges
91251,Asbestopluma sp. A (Clark 2006),fuzzy sponge,102,Sponges
91255,Cornulum clathriata,lattice sponge,102,Sponges
91257,Isodictya palmata,prickly pear sponge,102,Sponges
91260,Chondrocladia concrescens,lobed tree sponge,102,Sponges
91261,Monanchora alaskensis,,102,Sponges
91262,Halichondria sitiens,,102,Sponges
91264,Haliclona sp. 2 (Stone et al. 2011),,102,Sponges
91265,Haliclona digitata,,102,Sponges
91267,Artemisina arcigera,,102,Sponges
91700,Hexactinellida,glass sponge unid.,102,Sponges
91701,Staurocalyptus sp.,,102,Sponges
91704,Geodinella sp.,,102,Sponges
91705,Geodinella lendenfeldi,calcareous finger sponge,102,Sponges
91710,Aulosaccus schulzei,vase sponge,102,Sponges
91720,Farrea sp.,,102,Sponges
91721,Farrea beringiana,Bering lace sponge,102,Sponges
91725,Regadrella okinoseana,lacy basket sponge,102,Sponges
92000,Platyhelminthes,flatworm unid.,105,Misc. worms 
92021,Polycladida,polyclad flatworm unid.,105,Misc. worms 
92500,Nemertea,nemertean worm unid.,105,Misc. worms 
92502,Emplectonema sp.,,105,Misc. worms 
92512,Tubulanus sp. A (Clark 2006),red ribbon worm,105,Misc. worms 
92802,Cerebratulus californienesis,light-edged ribbon worm,105,Misc. worms 
93150,Chaetognatha,arrow worm unid.,108,Chaetognaths
93500,Nematoda,nematode worm unid.,105,Misc. worms 
94000,Sipuncula,peanut worm unid.,105,Misc. worms 
94011,Phascolosomatidae,,105,Misc. worms 
94500,Echiura,echiuroid worm unid.,105,Misc. worms 
95000,Bryozoa,bryozoan unid.,105,Misc. worms 
95006,Myriapora orientalis,,105,Misc. worms 
95007,Myriapora sp.,,105,Misc. worms 
95010,(blank),bryozoan sp. A unid.,105,Misc. worms 
95015,Phidolopora pacifica,lattice-work bryozoan,105,Misc. worms 
95017,Bugula pacifica,,105,Misc. worms 
95020,Eucratea loricata,feathery bryozoan,105,Misc. worms 
95030,Flustra serrulata,leafy bryozoan,105,Misc. worms 
95035,Flustrellidra corniculata,,105,Misc. worms 
95036,Alcyonidium pedunculatum,,105,Misc. worms 
95037,Alcyonidium sp. A,medusa bryozoan,105,Misc. worms 
95038,Alcyonidium sp.,,105,Misc. worms 
95039,Alcyonidium disciforme,disc bryozoan,105,Misc. worms 
95040,Myriapora subgracilis,,105,Misc. worms 
95045,Idmidronea sp.,,105,Misc. worms 
95050,Porella compressa,flattened bryozoan,105,Misc. worms 
95051,Porella sp.,,105,Misc. worms 
95060,Escharopsis sarsi,,105,Misc. worms 
95070,Rhamphostomella costata,ribbed bryozoan,105,Misc. worms 
95071,Hippoporina insculpta,,105,Misc. worms 
95072,Hippodiplosia sp.,,105,Misc. worms 
95080,Celleporina ventricosa,coral bryozoan,105,Misc. worms 
95085,Celleporina sp.,,105,Misc. worms 
95090,Tubulipora sp.,tubular bryozoan,105,Misc. worms 
95100,Microporina articulata,,105,Misc. worms 
95102,Microporina sp.,,105,Misc. worms 
95105,Dendrobeania sp.,,105,Misc. worms 
97000,Brachiopoda,lampshell unid.,105,Misc. worms 
97110,Terebratalia transversa,common brachiopod,105,Misc. worms 
97115,Terebratulina unguicula,snakeshead brachiopod,105,Misc. worms 
97116,Laqueus californianus,California lamp shell,105,Misc. worms 
97120,Hemithiris psittacea,black brachiopod,105,Misc. worms 
98000,Ascidiacea,tunicate unid.,100,Urochordata
98002,Ascidian n. sp. B,transparent tunicate,100,Urochordata
98070,Thaliacea,salp unid.,112,Gelatinous filter feeders
98080,Styela sp.,,100,Urochordata
98082,Styela rustica,sea potato,100,Urochordata
98083,Styela sp. A (Clark 2006),Aleutian long-stalked tunicate,100,Urochordata
98084,Styela sp. B (Clark 2006),hexagonal tunicate,100,Urochordata
98100,Boltenia sp.,,100,Urochordata
98105,Boltenia ovifera,sea onion,100,Urochordata
98200,Halocynthia sp.,sea peach unid.,100,Urochordata
98204,Halocynthia igaboja,bristly tunicate,100,Urochordata
98205,Halocynthia aurantium,sea peach,100,Urochordata
98206,Cnemidocarpa finmarkiensis,broad base tunicate,100,Urochordata
98207,Pyura haustor,wrinkled tunicate,100,Urochordata
98210,Distaplia sp.,,100,Urochordata
98212,Distaplia occidentalis,globular ascidian,100,Urochordata
98213,Distaplia smithi,paddle ascidian,100,Urochordata
98214,Distaplia sp. A (Clark 2006),peach ascidian,100,Urochordata
98219,Aplidium californicum,california sea pork,100,Urochordata
98225,Botryllus schlosseri,golden star ascidian,100,Urochordata
98300,(blank),compound ascidian unid.,100,Urochordata
98302,Amaroucium sp.,,100,Urochordata
98303,Amaroucium soldatovi,sand-grain imbedded ascidian,100,Urochordata
98309,Chelyosoma orientale,,100,Urochordata
98310,Aplidium sp. A (Clark 2006),sea glob,100,Urochordata
98311,Aplidium n. sp. A,orange Aplidium,100,Urochordata
98312,Aplidium sp.,,100,Urochordata
98320,Synoicum sp.,sea blob,100,Urochordata
98321,Trididemnum opacum,purple-gray ascidian,100,Urochordata
98322,Ascidia paratropa,glassy tunicate,100,Urochordata
98330,(blank),brown leafy compound tunicate,100,Urochordata
98331,Chelyosoma productum,disc-top tunicate,100,Urochordata
98340,Polyclinum planum,,100,Urochordata
99900,Molgula sp.,,100,Urochordata
99902,Molgula griffithsii,sea grape,100,Urochordata
99904,Molgula retortiformis,sea clod,100,Urochordata
99910,(blank),neon yellow ascidian,100,Urochordata
99981,Craniella craniana,baseball sponge,102,Sponges
99982,Craniella spinosa,furry ball sponge,102,Sponges
99983,Craniella sputnika,spiky ball sponge,102,Sponges
99984,Craniella sp. B,knobby ball sponge,102,Sponges
99985,Craniella sigmoancoratum,spiny ball sponge,102,Sponges
99987,Craniella sp.,puffball sponges,102,Sponges
99988,Craniella arb,,102,Sponges
99990,(blank),invertebrate unid.,0,Gen Invert
99991,(blank),empty barnacle shells,0,Shells
99992,(blank),invertebrate egg unid.,0,Gen Invert
99993,(blank),empty bivalve shells,0,Shells
99994,(blank),empty gastropod shells,0,Shells
99997,(blank),unsorted catch and debris,0,Shells
99998,Polychaete tubes,,0,Tubes
20037,Bathyagonus pentacanthus,Bigeye Poacher,73,Misc. fish shallow
22251,Careproctus ostentum,Microdisk Snailfish,73,Misc. fish shallow
22924,Caulophryne jordani,Fanfin Angler,59,Misc. fish deep
23962,Macropinna microstoma,Barreleye,59,Misc. fish deep
40020,Hydractinia,Hydractinia,99,Hydroids
41526,Antipathes,Antipathes,98,Corals
42005,Stylatula gracile,Roughstem Seawhip,101,Sea Pens
42018,Pennatulidae,Pennatulid Sea Pens,101,Sea Pens
50201,Halosydna brevisetosa,Eighteen-Scaled Worm,104,Polychaetes
64100,Mysidae,Mysidae,110,Mysids
68050,Cancer productus,Red Rock Crab,87,Misc. crabs
69559,Polycheles,Polycheles,89,NP shrimp
71773,Beringius aleuticus,Beringius aleuticus,93,Snails
71787,Beringius rotundus,Rotund Whelk,93,Snails
72735,Buccinidae,Buccinidae,93,Snails
79255,Gonatopsis,Gonatopsis,75,Squids
80556,Odontohenricia,Giant Toothed Henricia,90,Sea stars
83403,Ophioscolex corynetes,Ophioscolex corynetes,91,Brittle stars
91221,Tedania,Tedania,102,Sponges
91271,Cladocroce infundibulum,Cladocroce infundibulum,102,Sponges
95016,Bugula,Bugula,105,Misc. worms 
95103,Heteropora,Heteropora,105,Misc. worms 
65211,Hamatoscalpellum columbianum,Columbian barnacle,95,Misc. Crustacean
99999,,unsorted SHAB,0,Shells
91115,Phorbas,Phorbas,102,Sponges
