"predator","model","stratum_bin","year","lbin","pred_n","pred_full","tot_wt","tot_sci","prey_guild","prey_n","prey_wt","prey_sci","dietprop_wt","dietprop_sci"
"Atka.mackerel","AI",211,2006,"[20,999)",4,3,3,0.0190979158173135,"squids",1,0.41,0.0034697986466869,0.136666666666667,0.181684675955127
"Atka.mackerel","AI",211,2006,"[20,999)",4,3,3,0.0190979158173135,"zoop_other",1,1.41,0.00698703082559506,0.47,0.365853053936958
"Atka.mackerel","AI",211,2006,"[20,999)",4,3,3,0.0190979158173135,NA,0,0,0,0,0
"Atka.mackerel","AI",211,2010,"[20,999)",12,11,116.302,0.151311436596714,"amphipods",8,0.779,0.0013154417992114,0.00669807913879383,0.0086936045866606
"Atka.mackerel","AI",211,2010,"[20,999)",12,11,116.302,0.151311436596714,"benthos",4,0.428,0.000506882562353576,0.00368007428935014,0.00334992895285606
"Atka.mackerel","AI",211,2010,"[20,999)",12,11,116.302,0.151311436596714,"copepods",10,112.013,0.145867869575869,0.963121872366769,0.964024087383731
"Atka.mackerel","AI",211,2010,"[20,999)",12,11,116.302,0.151311436596714,"euphausiids",5,0.987,0.00111605494952224,0.00848652645698268,0.00737587967323862
"Atka.mackerel","AI",211,2010,"[20,999)",12,11,116.302,0.151311436596714,"fish_other",2,1.12,0.0012767916877574,0.00963010094409382,0.00843817041510479
"Atka.mackerel","AI",211,2010,"[20,999)",12,11,116.302,0.151311436596714,"myctophids",0,0,0,0,0
"Atka.mackerel","AI",211,2010,"[20,999)",12,11,116.302,0.151311436596714,"pollock",0,0,0,0,0
"Atka.mackerel","AI",211,2010,"[20,999)",12,11,116.302,0.151311436596714,"squids",0,0,0,0,0
"Atka.mackerel","AI",211,2010,"[20,999)",12,11,116.302,0.151311436596714,"zoop_other",5,0.975,0.00122839602200084,0.00838334680401025,0.00811832898840849
"Atka.mackerel","AI",211,2010,"[20,999)",12,11,116.302,0.151311436596714,NA,0,0,0,0,0
