NODC_CODE,RACE,BASE_NAME,EGOA
5001430804,NA,Boccardia californica (polychaete),Infauna
5001431002,NA,Spiophanes kroyeri (polychaete),Infauna
5001440000,NA,Magelonidae (polychaete),Infauna
5001440100,NA,Magelona sp. (polychaete),Infauna
5001490000,NA,Chaetopteridae (polychaete),Infauna
5001490100,50013,Chaetopterus sp. (polychaete),Infauna
5001490300,NA,Spiochaetopterus sp. (polychaete),Infauna
5001490301,NA,Spiochaetopterus typicus (polychaete),Infauna
5001500000,NA,Cirratulidae (polychaete),Infauna
5001500300,NA,Tharyx sp. (polychaete),Infauna
5001520101,NA,Cossura longocirrata (polychaete),Infauna
5001540000,NA,Flabelligeridae (polychaete),Infauna
5001540100,58500,Brada sp. (polychaete),Infauna
5001540101,58503,Brada granulata (polychaete),Infauna
5001540102,58509,Brada villosa (polychaete),Infauna
5001540200,NA,Flabelligera sp. (polychaete),Infauna
5001540202,NA,Flabelligera affinis (polychaete),Infauna
5001570000,NA,Scalibregmidae,Infauna
5001570100,NA,Scalibregma sp. (polychaete),Infauna
5001570101,NA,Scalibregma inflatum,Infauna
5001580000,NA,Opheliidae (polychaete),Infauna
5001580101,NA,Ophelina acuminata (polychaete),Infauna
5001580300,NA,Opheliidae (polychaete) Ophelia sp.,Infauna
5001580301,NA,Ophelia limacina (polychaete),Infauna
5001580400,NA,Travisia sp. (polychaete),Infauna
5001580401,NA,Travesia brevis (polychaete),Infauna
5001580402,NA,Travisia forbesii (polychaete),Infauna
5001580403,NA,Travisia pupa (polychaete),Infauna
5001580600,NA,Ophelina sp. (polychaete),Infauna
5001580700,NA,Euzonus sp. (polychaete),Infauna
5001590000,NA,Sternaspidae (polychaete),Infauna
5001590101,NA,Sternaspis scutata (polychaete),Infauna
5001600000,NA,Capitellidae (polychaete),Infauna
5001600101,NA,Capitella capitata (polychaete),Infauna
5001600306,NA,Notomastus latericeus (polychaete),Infauna
5001620000,NA,Arenicolidae (polychaete) ,Infauna
5001620200,NA,Polychaete Arenicola sp.,Infauna
5001630000,92900,Maldanidae (polychaete),Infauna
5001630301,NA,Maldane sarsi (polychaete),Infauna
5001630400,NA,Maldanella sp. (polychaete),Infauna
5001630402,NA,Maldanella harai (polychaete),Infauna
5001630500,NA,Nicomache sp. (polychaete),Infauna
5001630501,NA,Nicomache lumbricalis (polychaete),Infauna
5001630502,NA,Nicomache personata (polychaete),Infauna
5001630600,NA,Notoproctus sp. (polychaete),Infauna
5001630801,NA,Axiothella catenata (polychaete),Infauna
5001630900,NA,Praxillella sp. (polychaete),Infauna
5001630901,NA,Praxillella gracilis (polychaete),Infauna
5001630902,NA,Praxillella praetermissa (polychaete),Infauna
5001631000,NA,Rhodine sp. (polychaete),Infauna
5001631600,NA,Micromaldane sp. (polychaete),Infauna
5001631601,NA,Micromaldane ornithochaeta (polychaete),Infauna
5001640000,50100,Oweniidae (polychaete),Infauna
5001640100,NA,Oweniidae (polychaete) Owenia sp.,Infauna
5001640102,NA,Oweniidae (polychaete) Owenia fusiformis,Infauna
5001640200,NA,Myriochele sp. (polychaete),Infauna
5001640202,NA,Oweniidae (polychaete) Galathowenia oculata,Infauna
5001640400,NA,Galathowenia sp.,Infauna
5001650000,NA,Sabellariidae,Infauna
5001650102,NA,Idanthyrsus armatus (polychaete),Infauna
5001660000,NA,Pectinariidae (polychaete),Infauna
5001660200,NA,Cistenides sp. (polychaete),Infauna
5001660203,NA,Cistenides hyperborea (polychaete),Infauna
5001660300,58000,polychaete Pectinaria sp.,Infauna
5001670000,50050,Ampharetidae (polychaete),Infauna
5001670100,NA,Amage sp. (polychaete),Infauna
5001670200,NA,Ampharete sp. (polychaete),Infauna
5001670206,NA,Ampharete reducta (polychaete),Infauna
5001670208,NA,Ampharete acutifrons (polychaete),Infauna
5001670300,NA,Amphicteis sp. (polychaete),Infauna
5001670500,NA,Melinna (polychaete),Infauna
5001670501,NA,Melinna cristata (polychaete),Infauna
5001670602,NA,Sabellides borealis (polychaete),Infauna
5001670901,NA,Glyphanostomum pallescens (polychaete),Infauna
5001680000,NA,Terebellidae (polychaete),Infauna
5001680101,NA,Amphitrite cirrata (polychaete),Infauna
5001680402,NA,Neoamphitrite groenlandica (polychaete),Infauna
5001680600,NA,Nicolea sp. (polychaete),Infauna
5001680700,NA,Pista sp. (polychaete),Infauna
5001680703,NA,Pista elongata,Infauna
5001680800,NA,Polycirrus sp. (polychaete),Infauna
5001681000,NA,Terebellidae (polychaete) Thelepus sp,Infauna
5001681100,NA,Artacama sp. (polychaete),Infauna
5001681102,NA,Artacama proboscidea (polychaete),Infauna
5001681600,NA,Lysilla sp. (polychaete),Infauna
5001690000,NA,Trichobranchidae (polychaete),Infauna
5001690100,NA,Terebellides sp. (polychaete),Infauna
5001690101,NA,Terebellides stroemi (polychaete),Infauna
5001700000,NA,Sabellidae (polychaete),Infauna
5001700100,NA,Chone sp. (polychaete),Infauna
5001700103,NA,Chone cincta (polychaete),Infauna
5001700106,NA,Chone magna (Sabellidae),Infauna
5001700200,NA,Euchone sp. (Sabellidae),Infauna
5001700201,NA,Euchone cf analis (Sabellidae),Infauna
5001701401,NA,Laonome kroyeri (Sabellidae),Infauna
5001730000,NA,Serpulidae (polychaete),Infauna
5001730500,NA,Spirorbis sp.,Infauna
5001910000,NA,Aphroditiformia (polychate) ,Infauna
5001920000,NA,Scolacida (polychaete) ,Infauna
5001930000,NA,Aphroditoidea (polychaete) ,Infauna
5001940000,NA,Spionida (polychaete) ,Infauna
5001950000,NA,Capitellida,Infauna
5001960000,NA,Eunicida (polychaete),Infauna
5001970000,NA,Phyllodocida (pllychaete),Infauna
5001971000,NA,Glyceriformia,Infauna
5001980000,NA,Sabellida (polychaete),Infauna
5001990000,NA,Terebellida (polychaete),Infauna
5002050000,NA,polychaete Polygordiidae,Infauna
5004000000,NA,Oligochaeta (worm),Infauna
5012000000,59100,Hirudinea (leech),Infauna
5085000000,70000,Mollusca,Motile_epifauna
5100000000,71500,Gastropoda (snail),Motile_epifauna
5102040000,NA,Limpet Fissurellidae,Motile_epifauna
5102040203,71350,Cranopsis major (Great key-hole limpet),Motile_epifauna
5102100000,72510,Trochidae (snail) ,Motile_epifauna
5102100200,NA,Bathybembix sp. (snail),Motile_epifauna
5102100300,NA,Margarites sp. (Gastropoda),Motile_epifauna
5102100400,72540,Solariella sp (Trochidae),Motile_epifauna
5102100403,72543,Solariella varicosa (Trochidae),Motile_epifauna
5103200500,NA,Rissoina sp. (snail),Motile_epifauna
5103330000,NA,Turritellidae (turret snail) ,Motile_epifauna
5103330101,71634,Turritellidae Tachyrychus erosus,Motile_epifauna
5103430101,NA,Horse mussel Modiolus modiolus,Motile_epifauna
5103620204,NA,Trichotropis cancellata (snail),Motile_epifauna
5103640202,71681,Crepidula grandis (grand slipper shell),Motile_epifauna
5103660000,NA,Lamellariidae (snail),Motile_epifauna
5103660404,NA,Velutina pliciatis (Ribbed velvet snail),Motile_epifauna
5103730000,95103,Heteropoda sp. (Mollusc),Motile_epifauna
5103760000,71510,Naticidae (snail),Motile_epifauna
5103760200,71525,Natica sp. (moonsnail),Motile_epifauna
5103760400,71575,snail Euspira sp,Motile_epifauna
5103760401,NA,Euspiradae (snail) Euspira nana,Motile_epifauna
5103760402,NA,Polinices pallidus (snail),Motile_epifauna
5103769900,NA,Snail Euspira sp.,Motile_epifauna
5103780101,72500,Fusitriton oregonensis (snail),Motile_epifauna
5105010000,71540,Muricidae (Snail) ,Motile_epifauna
5105040000,NA,Buccinidae (snail),Motile_epifauna
5105040100,72746,Buccinum sp. (snail),Motile_epifauna
5105050000,NA,Neptuneidae (snail),Motile_epifauna
5105050200,71769,Beringius sp. (snail),Motile_epifauna
5105050301,71726,Colus spitzbergensis (thick ribbed colus),Motile_epifauna
5105050321,71731,Colus halli (snail),Motile_epifauna
5105050800,71800,Neptunea sp. (snail),Motile_epifauna
5105050801,71870,Neptunea lyrata,Motile_epifauna
5105050805,71820,Neptunea pribiloffensis (snail),Motile_epifauna
5105050810,71884,Neptunea heros (snail),Motile_epifauna
5105050911,71893,Plicifusus brunneus,Motile_epifauna
5105100102,72797,Beatic olive Olivella beatica,Motile_epifauna
5105140100,NA,snail Admete sp.,Motile_epifauna
5106020000,72058,Turridae (snail) Turridae,Motile_epifauna
5106020400,72100,Oenopota sp. (Turridae),Motile_epifauna
5108010200,NA,Turbonilla sp. (snail),Motile_epifauna
5108999999,NA,pelagic snails,Motile_epifauna
5109000000,NA,Pteropoda,Gelatinous_omnivores
5110000000,71007,Cephalaspidea (snail),Gelatinous_omnivores
5110040200,NA,Cylichna sp. (snail),Gelatinous_omnivores
5110040203,73351,Cylichna alba (gastropod),Gelatinous_omnivores
5110090101,NA,Diaphanidae (snail) Diaphana minuta,Gelatinous_omnivores
5113000000,NA,Thecosomata (pteropod),Gelatinous_omnivores
5113010100,NA,Limacina,Gelatinous_omnivores
5113010102,NA,Limacina helicina (pteropod),Gelatinous_omnivores
5125000000,NA,Gymnosomata (pteropod),Gelatinous_omnivores
5125060100,NA,Clione sp. (Pteropod),Gelatinous_omnivores
5125060101,NA,Clione limacina (pteropod),Gelatinous_omnivores
5127000000,71010,Nudibranchia (sea slug),Motile_epifauna
5134000000,NA,Dendronotoidea (nudibranch),Motile_epifauna
5300000000,70100,Polyplacophora,Motile_epifauna
5302010100,70124,Leptochitonidae Leptochiton sp.,Motile_epifauna
5400000000,NA,Aplacophora,Motile_epifauna
5500000000,74000,Bivalvia (clam),Infauna
5502000000,NA,Nuculoida (clam),Infauna
5502020000,NA,Nuculidae,Infauna
5502020200,74332,Nucula sp. (clam),Infauna
5502020201,74333,Nucula tenuis (clam),Infauna
5502040000,NA,Nuculanidae (clam),Infauna
5502040200,74435,Nuculana sp. (clam),Infauna
5502040201,74436,Nuculana pernula (Nuculanidae),Infauna
5502040203,74439,Nuculana fossa (clam),Infauna
5502040500,NA,Yoldia sp. (clam),Infauna
5502040501,NA,Yoldia amygdalea (clam),Infauna
5502040502,74420,Yoldia hyperborea,Infauna
5502040504,NA,Yoldia scissurata (clam),Infauna
5502040505,74416,Yoldiidae (clam) Yoldia seminuda,Infauna
5502040507,NA,Yoldia thraciaeformis (Axe Yoldia ),Infauna
5502040510,NA,Yoldia montereyensis (clam),Infauna
5502040600,NA,Yoldiella sp. (clam),Infauna
5504010100,NA,Solemya sp. (clam),Infauna
5506050102,74481,Akutan limops Limopsis akutanica,Infauna
5507010000,74050,Mytilidae (mussel),Infauna
5507010402,74562,Discord Mussel (mussel) Musculus discors,Infauna
5507010601,74060,Modiolus modiolus (Horse mussel),Infauna
5509050000,74100,Pectinidae (scallops),Infauna
5509050100,74104,Chlamys sp. (scallop),Infauna
5509050200,74176,Cyclopecten sp. (scallop),Infauna
5509050400,NA,Pecten sp. (scallop),Infauna
5509090101,75600,Pododesmus macrochisma (rock jingle),Infauna
5509100200,NA,Limatula spp. (file clam),Infauna
5515000000,NA,Veneroida (clam),Infauna
5515010000,NA,Lucinidae (clam),Infauna
5515010300,NA,Lucina sp. (clam),Infauna
5515020000,NA,Thyasiridae (clam),Infauna
5515020201,NA,silky axinopsid Axinopsida serricata,Infauna
5515050000,NA,Ungulinidae,Infauna
