SURVEY,STRATUM,AREA,SUBMODEL,SUBAREA,PERIMETER,INPFC_AREA,MIN_DEPTH,MAX_DEPTH,DESCRIPTION,SUMMARY_AREA,SUMMARY_DEPTH,SUMMARY_AREA_DEPTH,REGULATORY_AREA_NAME,STRATUM_TYPE
AI,223,783.403,AI,Western Aleutians,NA,Western Aleutians,201,300,E Western Aleutians,299,993,293,ALEUTIANS,NEITHER
AI,224,1561.386,AI,Western Aleutians,NA,Western Aleutians,301,500,E Western Aleutians,299,994,294,ALEUTIANS,NEITHER
BS,10,77871,EBS,SE_inner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,20,41027,EBS,NW_inner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,31,94526,EBS,SE_middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,32,8774,EBS,Pribs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,41,62703,EBS,NW_middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,42,24011,EBS,Pribs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,43,21108,EBS,StMatt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,50,38792,EBS,SE_outer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,61,88134,EBS,NW_outer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,62,6429,EBS,StMatt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,70,79261,NBS,NBS70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,71,82594,NBS,NBS71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,81,38352,NBS,NBS81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,82,17954,EBS,NW_corner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,90,11568,EBS,NW_corner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOA,20,7940.852,WGOA,CENTRAL GOA,2470.078,Chirikof       ,1,100,Upper Alaska Peninsula        ,929,991,921,CENTRAL GOA,SHELF
GOA,21,7302.086,WGOA,CENTRAL GOA,632.708,Chirikof       ,1,100,Semidi Bank                   ,929,991,921,CENTRAL GOA,SHELF
GOA,22,10792.012,WGOA,CENTRAL GOA,961.835,Chirikof       ,1,100,Chirikof Bank                 ,929,991,921,CENTRAL GOA,SHELF
GOA,120,11104.039,WGOA,CENTRAL GOA,962.173,Chirikof       ,101,200,East Shumagin Gully           ,929,992,922,CENTRAL GOA,GULLY
GOA,121,7734.619,WGOA,CENTRAL GOA,1843.775,Chirikof       ,101,200,Shelikof Edge                 ,929,992,922,CENTRAL GOA,SHELF
GOA,122,5010.738,WGOA,CENTRAL GOA,898.952,Chirikof       ,101,200,Chirikof Outer Shelf          ,929,992,922,CENTRAL GOA,SHELF
GOA,220,10017.785,WGOA,CENTRAL GOA,678.285,Chirikof       ,201,300,Lower Shelikof Gully          ,929,993,923,CENTRAL GOA,GULLY
GOA,221,1528.313,WGOA,CENTRAL GOA,832.464,Chirikof       ,201,300,Chirikof Slope                ,929,993,923,CENTRAL GOA,SLOPE
GOA,320,1603.961,WGOA,CENTRAL GOA,805.575,Chirikof       ,301,500,Chirikof Slope                ,929,994,924,CENTRAL GOA,SLOPE
GOA,420,1953.21,WGOA,CENTRAL GOA,840.567,Chirikof       ,501,700,Chirikof Slope                ,929,995,925,CENTRAL GOA,SLOPE
GOA,520,3065.55,WGOA,CENTRAL GOA,869.313,Chirikof       ,701,1000,Chirikof Slope                ,929,996,926,CENTRAL GOA,SLOPE
GOA,30,5766.075,WGOA,CENTRAL GOA,2047.126,Kodiak         ,1,100,Albatross Shallows            ,939,991,931,CENTRAL GOA,SHELF
GOA,31,15403.147,WGOA,CENTRAL GOA,1309.388,Kodiak         ,1,100,Albatross Banks               ,939,991,931,CENTRAL GOA,SHELF
GOA,32,9886.88,WGOA,CENTRAL GOA,837.051,Kodiak         ,1,100,Lower Cook Inlet              ,939,991,931,CENTRAL GOA,SHELF
GOA,33,5260.082,WGOA,CENTRAL GOA,2272.262,Kodiak         ,1,100,Kenai Peninsula               ,939,991,931,CENTRAL GOA,SHELF
GOA,35,2199.622,WGOA,CENTRAL GOA,1414.556,Kodiak         ,1,100,Northern Kodiak Shallows      ,939,991,931,CENTRAL GOA,SHELF
GOA,130,7911.775,WGOA,CENTRAL GOA,1287.377,Kodiak         ,101,200,Albatross Gullies             ,939,992,932,CENTRAL GOA,GULLY
GOA,131,7336.402,WGOA,CENTRAL GOA,534.75,Kodiak         ,101,200,Portlock Flats                ,939,992,932,CENTRAL GOA,SHELF
GOA,132,10980.778,WGOA,CENTRAL GOA,745.385,Kodiak         ,101,200,Barren Islands                ,939,992,932,CENTRAL GOA,SHELF
GOA,133,12077.011,WGOA,CENTRAL GOA,989.657,Kodiak         ,101,200,Kenai Flats                   ,939,992,932,CENTRAL GOA,SHELF
GOA,134,5025.806,WGOA,CENTRAL GOA,1235.143,Kodiak         ,101,200,Kodiak Outer Shelf            ,939,992,932,CENTRAL GOA,SHELF
GOA,230,6659.46,WGOA,CENTRAL GOA,1012.591,Kodiak         ,201,300,Kenai Gullies                 ,939,993,933,CENTRAL GOA,GULLY
GOA,231,1622.614,WGOA,CENTRAL GOA,1004.86,Kodiak         ,201,300,Kodiak Slope                  ,939,993,933,CENTRAL GOA,SLOPE
GOA,232,3208.227,WGOA,CENTRAL GOA,333.202,Kodiak         ,201,300,Upper Shelikof Gully          ,939,993,933,CENTRAL GOA,GULLY
GOA,330,2911.769,WGOA,CENTRAL GOA,1337.188,Kodiak         ,301,500,Kodiak Slope                  ,939,994,934,CENTRAL GOA,SLOPE
GOA,430,1744.835,WGOA,CENTRAL GOA,1276.398,Kodiak         ,501,700,Kodiak Slope                  ,939,995,935,CENTRAL GOA,SLOPE
GOA,530,3493.863,WGOA,CENTRAL GOA,1316.058,Kodiak         ,701,1000,Kodiak Slope                  ,939,996,936,CENTRAL GOA,SLOPE
GOA,10,8332.718,WGOA,WESTERN GOA,1700.816,Shumagin       ,1,100,Fox Islands                   ,919,991,911,WESTERN GOA,SHELF
GOA,11,13681.241,WGOA,WESTERN GOA,868.189,Shumagin       ,1,100,Davidson Bank                 ,919,991,911,WESTERN GOA,SHELF
GOA,12,6875.823,WGOA,WESTERN GOA,1918.516,Shumagin       ,1,100,Lower Alaska Peninsula        ,919,991,911,WESTERN GOA,SHELF
GOA,13,12398.789,WGOA,WESTERN GOA,1783.463,Shumagin       ,1,100,Shumagin Bank                 ,919,991,911,WESTERN GOA,SHELF
GOA,110,4245.316,WGOA,WESTERN GOA,639.47,Shumagin       ,101,200,Sanak Gully                   ,919,992,912,WESTERN GOA,GULLY
GOA,111,8153.739,WGOA,WESTERN GOA,2081.775,Shumagin       ,101,200,Shumagin Outer Shelf          ,919,992,912,WESTERN GOA,SHELF
GOA,112,2278.242,WGOA,WESTERN GOA,348.565,Shumagin       ,101,200,West Shumagin Gully           ,919,992,912,WESTERN GOA,GULLY
