NODC_CODE,BASE_NAME,LENFEST_NAME,WEBSITE_NAME,CRAB_TEAM,ECOPATH_PREY,EBS_CRAB,GOA_MED
5001021600,Polynoidae (polychaete) Polyeunoa sp.,Polynoidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001022301,Tenonia kisapensis (polychaete),Polynoidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001060000,Sigalionidae,Sigalionidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001060101,Pholoe minuta (polychaete),Sigalionidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001060400,polychaete Sigalion sp,Sigalionidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001110000,Euphrosinidae,Euphrosinidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001110105,Euphrosine multibranchiata,Euphrosinidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001130000,Phyllodocidae (polychaete),Phyllodocidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001130102,Phyllodocidae (polychaete) Phyllodoce groenlandica,Phyllodocidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001130200,Eteone sp. (polychaete),Phyllodocidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001130205,Eteone longa (polychaete),Phyllodocidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001130210,polychaete Eteone cf ornata,Phyllodocidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001130500,Mystides sp. (polychaete),Phyllodocidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001131000,Phyllodoce sp. (polychaete),Phyllodocidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001140000,Alciopidae (polychaete),Alciopidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001200000,Tomopteridae (polychaete),Tomopteridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001200100,Tomopteris,Tomopteridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001210000,polychaete Hesionidae,Hesionidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001230000,Syllidae (polychaete),Syllidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001240000,Nereidae (polychaete),Nereidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001250000,Nephtyidae (polychaete),Nephtyidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001250100,Nephtys sp. (polychaete),Nephtyidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001250103,Nephtys caeca (polychaete),Nephtyidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001250113,Nephtys californiensis (polychaete),Nephtyidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001260000,Sphaerodoridae (polychaete),Sphaerodoridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001260203,Sphaerodoropsis biserialis (polychaete),Sphaerodoridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001270000,Glyceridae (polychaete),Glyceridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001270100,Glycera sp. (polychaete),Glyceridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001270101,Glycera capitata (polychaete),Glyceridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001280000,Goniadidae (polychaete),Goniadidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001280103,Glycinde armigera (polychaete),Goniadidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001280200,Goniada sp. (polychaete),Goniadidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001290000,Onuphidae (polychaete),Onuphidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001290100,Onuphis sp. (polychaete),Onuphidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001290101,Onuphis conchylega (polychaete),Onuphidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001290103,Onuphis iridescens (polychaete),Onuphidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001290104,Onuphis holobranchiata (polychaete),Onuphidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001290105,Onuphis parva (polychaete),Onuphidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001300000,Eunicidae,Eunicidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001300102,Eunice valens (polychaete),Eunicidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001310000,Lumbrineridae,Lumbrineridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001310100,Lumbrineris sp. (polychaete),Lumbrineridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001310104,Lumbrineris latreilli (polychaete),Lumbrineridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001310107,Lumbrineris japonica (polychaete),Lumbrineridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001310127,Lumbrineris minuta (polychaete),Lumbrineridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001310146,Lumbrineris bifurcatus (polychaete),Lumbrineridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001310147,Lumbrineris cervicalis (polychaete),Lumbrineridae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001330000,Arabellidae (polychaete),Arabellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001330100,Drilonereis sp. (polychaete),Arabellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001330103,Drilonereis longa (polychaete),Arabellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001330104,Drilonereis falcata minor (polychaete),Arabellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001400000,Orbiniidae (polychaete),Orbiniidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001400102,Haploscolopos elongatus (polychaete),Orbiniidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001400301,Scoloplos armiger (polychaete),Orbiniidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001410000,Paraonidae (polychaete),Paraonidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001410200,Aricidea sp. (polychaete),Paraonidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001410301,Tauberia gracilis (polychaete),Paraonidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001430000,Spionidae (polychaete),Spionidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
