"year","model","race_group","bio_tons","var_bio_tons","model_area","bio_tons_km2","var_bio_tons_km2","sd_bio_tons","cv_bio"
1990,"WGOA","Arrowtooth_flounder",1904324.78102564,2893335048026.11,234769.252,8.11147441499553,52.4948011958519,1700980.61365381,0.893219807147442
1990,"WGOA","Atka_mackerel",43518.5352834349,179878383121.307,234769.252,0.185367269830697,3.26359713087023,424120.71762802,9.74574890597155
1990,"WGOA","Big_skate",8816.40976089658,615465651.175599,234769.252,0.0375535113128724,0.0111666110094579,24808.5801926591,2.81390961462484
1990,"WGOA","Black_rockfish",734.481447101778,31057260.9408461,234769.252,0.00312852488494438,0.000563482870706476,5572.90417474104,7.58753566442202
1990,"WGOA","Chinook_salmon",601.167510805092,4023915.79282186,234769.252,0.00256067396255576,7.300732755342e-05,2005.97003786743,3.33679049817746
1990,"WGOA","Chum_salmon",710.370566620556,6071469.02620181,234769.252,0.00302582455142191,0.000110156810119407,2464.03511058625,3.46866160616479
1990,"WGOA","Deep_water_flatfish",90207.9084779636,13608401230.0628,234769.252,0.384240728755926,0.246902037029169,116655.052312632,1.29317988057698
1990,"WGOA","Demersal_shelf_rockfish",796.97006949706,16832681.5367423,234769.252,0.00339469527081451,0.000305401295113473,4102.76510864835,5.14795381367015
1990,"WGOA","Eulachon",23060.2249328089,2682352533.21895,234769.252,0.0982250645532103,0.0486668708017696,51791.4330098999,2.24592054764452
1990,"WGOA","Flathead_sole",223486.905514173,167187820705.728,234769.252,0.951942827309316,3.03334776810672,408886.073015123,1.82957507991085
1990,"WGOA","Gelatinous_carnivores",44152.8813702259,3830538192.21127,234769.252,0.188069267990111,0.0694988093447497,61891.3418194441,1.40175091406786
1990,"WGOA","Gelatinous_filter_feeders",340.699643639575,12814365.2955184,234769.252,0.00145121067063576,0.000232495562205346,3579.71581211671,10.5069549644251
1990,"WGOA","Infauna",572.159957556262,4350177.66218421,234769.252,0.00243711624363936,7.89268120533738e-05,2085.70795227525,3.6453231735815
1990,"WGOA","King_crab",783.062270588811,51441457.2855062,234769.252,0.0033354549793804,0.000933320555208368,7172.27002318696,9.15925883875605
1990,"WGOA","Large_sculpins",25356.1499722841,2973664292.75093,234769.252,0.108004560888085,0.0539522430966505,54531.3147902279,2.15061493364861
1990,"WGOA","Lingcod",1033.27555920767,33340093.1572254,234769.252,0.00440123887777122,0.000604901103083011,5774.08808014091,5.58813960969771
1990,"WGOA","Longnose_skate",9773.12287492844,325798749.592529,234769.252,0.0416286323343929,0.00591108195415694,18049.8961102974,1.84689135103395
1990,"WGOA","MISC_NA",205.679426700094,2543278.448518,234769.252,0.000876091843151988,4.61436004902818e-05,1594.76595415064,7.75364838251911
1990,"WGOA","MISC_SHELLS",1542.42533878327,17901245.1605382,234769.252,0.0065699631687001,0.000324788622908279,4230.98631060633,2.74307365434226
1990,"WGOA","Miscellaneous_deep_sea_fish",162.079872771066,974340.953874963,234769.252,0.000690379474272321,1.76778125663452e-05,987.087105515497,6.090127593509
1990,"WGOA","Motile_epifauna",13624.2241707833,1646023740.19721,234769.252,0.058032404391625,0.0298643909436808,40571.2181256271,2.97787364748671
1990,"WGOA","Octopus",957.605174466411,12309631.7620491,234769.252,0.00407892075435164,0.000223338003175178,3508.50848111403,3.66383617660484
1990,"WGOA","Other_skates",11016.6641506406,864064708.725691,234769.252,0.0469254983639876,0.0156770316441062,29394.9776105662,2.66822853167009
1990,"WGOA","POP",88737.0282331401,57314170190.2292,234769.252,0.37797551202804,1.03987126271252,239403.780651495,2.69790171496961
1990,"WGOA","Pacific_capelin",128.207543332478,415622.691945934,234769.252,0.000546100233485765,7.54078951245943e-06,644.688057858941,5.02847212497539
1990,"WGOA","Pacific_cod",401414.886675911,105907798890.686,234769.252,1.70982734432323,1.9215226565792,325434.78438957,0.810719271236981
1990,"WGOA","Pacific_dogfish",13093.7345459116,2649492553.68303,234769.252,0.0557727829959247,0.0480706805699419,51473.2217146258,3.93113374447461
1990,"WGOA","Pacific_halibut",283787.482759242,38069066862.5345,234769.252,1.20879323140341,0.690700545733102,195112.959237808,0.687531942356094
1990,"WGOA","Pacific_herring",6976.48085820788,1393372862.46489,234769.252,0.0297163312434453,0.0252804567022718,37327.90996647,5.35053571064463
1990,"WGOA","Pacific_sandlance",23.3387533942071,16985.2601210271,234769.252,9.94114569748133e-05,3.08169582337671e-07,130.327510990685,5.58416761981099
1990,"WGOA","Pandalid_shrimp",7470.58101429725,230123966.191455,234769.252,0.0318209516393452,0.00417522051718926,15169.8373818395,2.03061011624228
1990,"WGOA","Pelagic_shelf_rockfish",28966.8401628653,15912038041.0065,234769.252,0.123384301462379,0.288697734523808,126142.927035195,4.35473549499909
1990,"WGOA","Pink_salmon",0.792306156476015,39.5481898721572,234769.252,3.374829325929e-06,7.17536797686474e-10,6.28873515678289,7.93725393319377
1990,"WGOA","Rex_sole",107267.931229138,9674759551.9516,234769.252,0.456907922631785,0.175532584670362,98360.3555908152,0.916959565302931
1990,"WGOA","Sablefish",214550.161014129,218919943980.007,234769.252,0.913876749984826,3.97194197916266,467888.815831291,2.18078986107346
1990,"WGOA","Salmon_shark",13091.1464560131,1627835338.54656,234769.252,0.055761759022911,0.0295343923390006,40346.4414607604,3.08196395146342
1990,"WGOA","Sessile_epifauna",62768.7509568247,164242527424.028,234769.252,0.267363593920829,2.97991027029885,405268.463396831,6.45653222692919
1990,"WGOA","Shallow_water_flatfish",204774.772335413,78698930152.6363,234769.252,0.872238466455621,1.42786252684677,280533.295978635,1.3699602386525
