"year","model","race_guild","bio_tons","bio_tkm2"
1982,"EBS","ak_plaice",716088.654836675,1.45281601396778
1982,"EBS","ak_skate",73211.55615985,0.14853317459804
1982,"EBS","anemones",54601.3870361014,0.110776464527277
1982,"EBS","arrowtooth",69994.068568682,0.142005466798706
1982,"EBS","atka",6.55816386639785,1.33053434417289e-05
1982,"EBS","bairdi",144144.50906712,0.292443470070055
1982,"EBS","benthic_amphipods",6.60541061942469,1.34011986671144e-05
1982,"EBS","bivalves",2834.30758605953,0.00575030399060966
1982,"EBS","brittle_stars",112944.238085837,0.229143691452448
1982,"EBS","capelin",2660.94769438921,0.00539858772601417
1982,"EBS","corals",17899.2670519184,0.0363144167075848
1982,"EBS","eelpouts",110093.215310648,0.223359475327803
1982,"EBS","eulachon",3655.46567857066,0.00741628713214052
1982,"EBS","fh_sole",200301.83023026,0.406376647109356
1982,"EBS","gen_invert",4.80516675741765,9.74882532743687e-06
1982,"EBS","gen_sebastes",4923.61426533841,0.00998913417070586
1982,"EBS","gr_turbot",38160.2517009924,0.0774203367052192
1982,"EBS","greenlings",330.919569821286,0.000671376717288371
1982,"EBS","halibut",55191.1072097952,0.111972901457699
1982,"EBS","hermits",140193.91890643,0.284428428061908
1982,"EBS","herring",2422.47051082815,0.00491476010368931
1982,"EBS","hybrid_chion",10978.0439896912,0.0222724909863343
1982,"EBS","king_crabs",165138.149781137,0.335035818398443
1982,"EBS","lg_sculpins",321630.08300353,0.652530007290631
1982,"EBS","misc_crabs",29702.0277663072,0.0602601106647173
1982,"EBS","misc_crustaceans",188.147606711023,0.000381717897879319
1982,"EBS","misc_fish_shallow",29138.2576636593,0.0591163217947347
1982,"EBS","misc_flats",102274.125336822,0.207495937968423
1982,"EBS","north_rockfish",519.807389035252,0.00105459637416185
1982,"EBS","np_shrimp",373.994846830741,0.000758768762704462
1982,"EBS","nr_sole",578750.563937676,1.1741815509887
1982,"EBS","octopus",12973.652466818,0.0263212242452641
1982,"EBS","opilio",452842.10834189,0.918735777133742
1982,"EBS","oth_managed_forage",544.882131522763,0.00110546854925626
1982,"EBS","oth_pelagic_smelt",450.747449756024,0.000914486088890831
1982,"EBS","oth_sculpins",20260.362045659,0.0411046568464792
1982,"EBS","oth_skate",96037.6381332593,0.194843219036146
1982,"EBS","pac_ocean_perch",147.692377548167,0.000299641461701262
1982,"EBS","pandalid",3277.29931742466,0.00664905511176707
1982,"EBS","pcod",1053664.93993103,2.1376980179044
1982,"EBS","pollock",2912861.37971309,5.90967561115829
1982,"EBS","polychaetes",5477.24921540411,0.0111123606258592
1982,"EBS","rex_sole",5994.58535741776,0.0121619432810866
1982,"EBS","sablefish",7079.896744789,0.0143638462899734
1982,"EBS","salmon_returning",304.364245857513,0.00061750070675519
1982,"EBS","sandlance",360.677764623908,0.000731750780840436
1982,"EBS","scyphozoid_jellies",11391.6135184608,0.0231115497121322
1982,"EBS","sea_pens",144.073329432114,0.000292299059300653
1982,"EBS","sea_stars",781461.435736431,1.58544571327566
1982,"EBS","snails",326345.504652846,0.662096755818856
1982,"EBS","sponges",64713.9775401874,0.131293104928996
1982,"EBS","squids",126.756954277763,0.000257167226170504
1982,"EBS","urchins_dollars_cucs",28603.4829123126,0.058031359315055
1982,"EBS","urochordata",114094.517940337,0.231477403880195
1982,"EBS","yf_sole",3381297.21932458,6.8600482845799
1983,"EBS","ak_plaice",651432.768901657,1.32164076653268
1983,"EBS","ak_skate",87055.5894979146,0.176620246213539
1983,"EBS","anemones",53772.8897084813,0.109095591388224
1983,"EBS","arrowtooth",102222.412324821,0.207391021501087
1983,"EBS","atka",75.0072934920691,0.000152176404993476
1983,"EBS","bairdi",64634.5654567989,0.131131991991834
1983,"EBS","bivalves",1612.00185842307,0.00327046392739878
1983,"EBS","brittle_stars",92881.7361287644,0.188440457395286
1983,"EBS","bryozoan",8.1601799463349,1.65555480076667e-05
1983,"EBS","capelin",2086.31174020921,0.00423275398350814
1983,"EBS","corals",920.760919083258,0.00186805949129992
1983,"EBS","dogfish",378.881094814459,0.000768682087361982
1983,"EBS","eelpouts",91913.0328957835,0.186475131509795
1983,"EBS","eulachon",3557.15279825308,0.00721682785298567
1983,"EBS","fh_sole",252612.047663118,0.512504737628994
1983,"EBS","gen_hexagrammidae",81.4489180860582,0.00016524531106105
1983,"EBS","gen_invert",53708.180952058,0.108964308876008
1983,"EBS","gr_turbot",23086.0452155355,0.0468374634366522
1983,"EBS","greenlings",390.605869343214,0.000792469561273885
1983,"EBS","halibut",57168.411112997,0.115984498004648
1983,"EBS","hermits",124947.773137769,0.253496720689655
1983,"EBS","herring",74972.5856461227,0.152105988971576
1983,"EBS","hybrid_chion",680.550926660734,0.00138071630921011
1983,"EBS","kamchatka",17318.6451119812,0.0351364384688508
1983,"EBS","king_crabs",80697.9997392762,0.163721831821407
1983,"EBS","lg_sculpins",277384.927603666,0.562764487516999
1983,"EBS","misc_crabs",14191.9357479526,0.0287929034827815
1983,"EBS","misc_crustaceans",126.822647595976,0.000257300506182785
1983,"EBS","misc_fish_shallow",34235.7026641772,0.0694581274874409
1983,"EBS","misc_flats",66769.6472815318,0.135463691768324
1983,"EBS","misc_worms",2.99669647471277,6.07976204909498e-06
1983,"EBS","north_rockfish",202.336190849776,0.000410504001545507
1983,"EBS","np_shrimp",250.678101336884,0.000508581105863667
1983,"EBS","nr_sole",714091.619772394,1.44876438641825
1983,"EBS","octopus",3306.03668769851,0.00670735810463142
1983,"EBS","opilio",340890.72251756,0.691606405633551
