nodc_preycat,ebs_ecopath_preycat,ebs_preyguild,Walleye_pollock_EBS,Pacific_cod_EBS
Bocaccio,oth_sebastes,Pelagic foragers,Other fish,Other fish
Canary Rock,oth_sebastes,Pelagic foragers,Other fish,Other fish
Northern Rock,north_rockfish,Pelagic foragers,Other fish,Other fish
Sharpchin Rock,sharpchin_rock,Pelagic foragers,Other fish,Other fish
Gen Thorny,oth_sebastes,Pelagic foragers,Other fish,Other fish
Shortsp Thorny,oth_sebastes,Pelagic foragers,Other fish,Other fish
Longsp Thorny,oth_sebastes,Pelagic foragers,Other fish,Other fish
Bighand Thorny,oth_sebastes,Pelagic foragers,Other fish,Other fish
Gen. Hexagrammidae,GEN_greenlings,Benthic foragers,Other fish,Other fish
Greenlings,greenlings,Benthic foragers,Other fish,Other fish
Lingcod,greenlings,Benthic foragers,Other fish,Other fish
Atka,atka,Pelagic foragers,Other fish,Other fish
Sablefish,sablefish,Apex predators,Other fish,Other fish
Sculpin,oth_sculpins,Benthic foragers,Other fish,Other fish
Lg Sculpin,lg_sculpins,Apex predators,Other fish,Other fish
Managed Forage,oth_managed_forage,Pelagic foragers,Other fish,Other fish
Sandlance,sandlance,Pelagic foragers,Other fish,Other fish
Gen. Flatfish,GEN_flatfish,Benthic foragers,Other fish,Other fish
Misc. Flatfish,misc_flats,Benthic foragers,Other fish,Other fish
Arrow or Kam,GEN_arrowkam,Apex predators,Other fish,Other fish
Kamchat fl,kamchatka,Apex predators,Other fish,Other fish
Arrowtooth,arrowtooth,Apex predators,Other fish,Other fish
Rex sole,rex_sole,Benthic foragers,Other fish,Other fish
FH Sole,fh_sole,Benthic foragers,Other fish,Other fish
Gen Rock Sole,nr_sole,Benthic foragers,Other fish,Other fish
S Rock Sole,nr_sole,Benthic foragers,Other fish,Other fish
N Rock Sole,nr_sole,Benthic foragers,Other fish,Other fish
YF Sole,yf_sole,Benthic foragers,Other fish,Other fish
Dover Sole,dover_sole,Benthic foragers,Other fish,Other fish
AK Plaice,ak_plaice,Benthic foragers,Other fish,Other fish
Gr. Turbot,gr_turbot,Apex predators,Other fish,Other fish
P. Halibut,halibut,Apex predators,Other fish,Other fish
Birds,GEN_birds,Apex predators,Benthos,Benthos
Glopp,GEN_glopp,UNID,Benthos,Benthos
Offal,GEN_offal,Offal,Benthos,Benthos
MISSING,MISSING,MISSING,MISSING,MISSING
