"year","model","species_name","lbin","prey_type","p_tot_bioen","p_tot_vonb","tot_bioen","tot_vonb","bioen_prop","vonb_prop"
2004,"EBS","Walleye_pollock","[25,40)","Other plankton",24.6195452425705,6923.98016264511,432.780312767702,123715.146489893,0.0568869343550413,0.055967117681995
2004,"EBS","Walleye_pollock","[25,40)","Walleye pollock",0,0,432.780312767702,123715.146489893,0,0
2004,"EBS","Walleye_pollock","[40,999)","Amphipods",149.679738708291,50758.063447124,13211.842126125,4215661.76480849,0.0113292103613859,0.0120403548194597
2004,"EBS","Walleye_pollock","[40,999)","Benthos",738.798856795055,239100.529823748,13211.842126125,4215661.76480849,0.055919443310192,0.0567171996149482
2004,"EBS","Walleye_pollock","[40,999)","Copepods",4911.76320870134,1566431.14562281,13211.842126125,4215661.76480849,0.371769747307898,0.371574199500317
2004,"EBS","Walleye_pollock","[40,999)","Euphausiids",4862.72459891772,1510837.48504802,13211.842126125,4215661.76480849,0.368058031007061,0.358386789390978
2004,"EBS","Walleye_pollock","[40,999)","Other fish",561.722199858102,186895.073328575,13211.842126125,4215661.76480849,0.0425165691881342,0.0443335077042324
2004,"EBS","Walleye_pollock","[40,999)","Other plankton",1532.14283507984,508047.96179951,13211.842126125,4215661.76480849,0.115967388987353,0.120514403228597
2004,"EBS","Walleye_pollock","[40,999)","Walleye pollock",455.010688064681,153591.505738706,13211.842126125,4215661.76480849,0.0344396098379759,0.0364335457414675
2005,"EBS","Walleye_pollock","[12,25)","Amphipods",9.99420665993089,2278.91054037344,136.478425011442,29849.807390483,0.0732292057084703,0.0763459043658695
2005,"EBS","Walleye_pollock","[12,25)","Benthos",24.8390298934971,5147.87239422431,136.478425011442,29849.807390483,0.181999681571756,0.172459149463912
2005,"EBS","Walleye_pollock","[12,25)","Copepods",55.3010007472357,11587.2857684241,136.478425011442,29849.807390483,0.405199581857716,0.388186282639747
2005,"EBS","Walleye_pollock","[12,25)","Euphausiids",41.3414787471929,9631.93459500953,136.478425011442,29849.807390483,0.302915854602858,0.322679957998003
2005,"EBS","Walleye_pollock","[12,25)","Other fish",0,0,136.478425011442,29849.807390483,0,0
2005,"EBS","Walleye_pollock","[12,25)","Other plankton",5.0027089635849,1203.80409245167,136.478425011442,29849.807390483,0.0366556762592,0.0403287055324679
2005,"EBS","Walleye_pollock","[12,25)","Walleye pollock",0,0,136.478425011442,29849.807390483,0,0
2005,"EBS","Walleye_pollock","[25,40)","Amphipods",90.2311867926867,26146.9927992984,1122.80696021903,317774.461826413,0.0803621548401207,0.0822816051642987
2005,"EBS","Walleye_pollock","[25,40)","Benthos",17.3893608687993,4671.32108356012,1122.80696021903,317774.461826413,0.0154874003144825,0.0147001148446972
2005,"EBS","Walleye_pollock","[25,40)","Copepods",604.756432644599,169784.212856553,1122.80696021903,317774.461826413,0.538611225322853,0.534291559745601
2005,"EBS","Walleye_pollock","[25,40)","Euphausiids",377.734995313481,108107.031718978,1122.80696021903,317774.461826413,0.336420247376981,0.340200502890105
2005,"EBS","Walleye_pollock","[25,40)","Other fish",0,0,1122.80696021903,317774.461826413,0,0
2005,"EBS","Walleye_pollock","[25,40)","Other plankton",32.6949845994618,9064.90336802332,1122.80696021903,317774.461826413,0.0291189721455627,0.0285262173552987
