"Model","Predator","Year","Stratgroup","Lbin","Pred_n","Prey_guild","SCI_mean","X0.","X2.5.","X25.","X50.","X75.","X97.5.","X100."
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Polychaete",3.29650021038417e-05,2.23333308928541e-07,1.00321691336937e-05,2.38448428546169e-05,3.21524751241342e-05,4.10463542333821e-05,5.95384987646142e-05,8.84201622765868e-05
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Shrimp",0.000940294306217821,0.000127042266515901,0.000468182642570183,0.000766285151473327,0.000932842958480223,0.00110821530707306,0.00145629145400942,0.00224053323993411
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Snow_crab",0.00134322882856094,0,0.000410676029321709,0.000962176772539177,0.00133035788603792,0.00168393558757772,0.00246701023101216,0.00352217588598054
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Walleye_pollock",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Eelpout",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Infauna",0.000261375785363661,1.00036908416725e-07,1.89923754329699e-06,7.53881283370179e-05,0.000256220417762366,0.000392242115212823,0.000707815961723145,0.00135248342190754
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Euphausiids",3.7363402152395e-05,9.75333048047286e-08,5.90706745729715e-06,2.06472399627163e-05,3.48715405985268e-05,5.10975416971522e-05,8.72885204848425e-05,0.000136825971118663
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Flatfish",0.00578569905593729,0.000522764185572439,0.00215366770757565,0.00420515730399877,0.00564042329242755,0.00718587585644363,0.010475394090167,0.0164708125736452
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Octopus",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Offal",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Shelf_forage_fish",1.74683247076715e-05,0,0,0,1.74683247076715e-05,3.4936649415343e-05,5.24049741230146e-05,0.000104809948246029
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Shelf_demersals",0.000240429455279764,0,0,0,0.000240429455279764,0.000480858910559529,0.000721288365839293,0.00144257673167859
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Copepods",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Squid",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Tanner_crab",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Sessile_epifauna",4.30119560061801e-05,0,0,0,4.30119560061801e-05,8.60239120123603e-05,0.00012903586801854,0.000258071736037081
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Detritus",1.34638880100054e-05,0,0,1.48294667518626e-06,1.34638880100054e-05,2.39618826696382e-05,3.89087173548298e-05,7.33685946841009e-05
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Pacific_cod",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Gelatinous",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Phyto_microzooplankton",5.96414728258891e-07,0,0,0,5.96414728258891e-07,1.19282945651778e-06,1.78924418477667e-06,3.57848836955335e-06
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"King_crab",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Rockfish",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Salmon",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Slope_forage_fish",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[60,85)",21,"Atka_mackerel",0,0,0,0,0,0,0,0
