"year","model","stratum_bin","species_name","lbin","strat_cons_bioen_t_km2","strat_cons_vonb_t_km2","strat_bio_t_km2","area","cons_bioen_tons","cons_vonb_tons","biomass_tons"
1990,"WGOA","Chirikof_gully","Pacific_cod","[0,20)",0,0,0,21121.824,0,0,0
1990,"WGOA","Chirikof_gully","Pacific_cod","[30,60)",0.0198972350311091,1.80430928413593,1.94259529217062,21121.824,420.265896413721,38110.3031410851,41031.1558644564
1990,"WGOA","Chirikof_gully","Pacific_cod","[60,85)",0.0158456343640614,1.26232213871017,1.66726827748051,21121.824,334.688700206057,26662.5460451397,35215.7471177265
1990,"WGOA","Chirikof_gully","Pacific_cod","[85,999)",0.00436216483545311,0.280040275257266,0.519540512996332,21121.824,92.1368779134295,5914.96140689553,10973.6432763782
1990,"WGOA","Chirikof_shelf","Pacific_cod","[0,20)",8.26719535808869e-06,0.00144517845330325,0.000503277136438265,38780.307,0.320604374015654,56.0444640888852,19.5172418571568
1990,"WGOA","Chirikof_shelf","Pacific_cod","[20,30)",0.00125665539647071,0.183375294976006,0.0850016874334957,38780.307,48.7334820683409,7111.35023538508,3296.39153418901
1990,"WGOA","Chirikof_shelf","Pacific_cod","[30,60)",0.0268519909371151,2.32870074310969,2.45278432650065,38780.307,1041.32845210254,90307.729728922,95119.7291864834
1990,"WGOA","Chirikof_shelf","Pacific_cod","[60,85)",0.029495182395529,2.18170237666401,2.9519027906483,38780.307,1143.83222831961,84607.0879496598,114475.696455498
1990,"WGOA","Chirikof_shelf","Pacific_cod","[85,999)",0.00391358011303991,0.246061754931859,0.42966723638398,38780.307,151.769838252782,9542.35039721627,16662.6273348123
1990,"WGOA","Chirikof_slope","Pacific_cod","[0,20)",0,0,0,8151.034,0,0,0
1990,"WGOA","Chirikof_slope","Pacific_cod","[30,60)",0.00700967672357875,0.65686948081026,0.742844350748703,8151.034,57.136113302899,5354.16547164678,6054.9495596606
1990,"WGOA","Chirikof_slope","Pacific_cod","[60,85)",0.0117783987988214,1.01594718445853,1.30936168836661,8151.034,96.0061290747525,8281.02004272576,10672.6516401736
1990,"WGOA","Kodiak_gully","Pacific_cod","[0,20)",0,0,0,17779.462,0,0,0
1990,"WGOA","Kodiak_gully","Pacific_cod","[20,30)",0.000123684423611047,0.0167346971895429,0.00929321342978045,17779.462,2.19904250958451,297.533912762985,165.228335032671
1990,"WGOA","Kodiak_gully","Pacific_cod","[30,60)",0.00846422261159654,0.808599572998017,0.780230774322211,17779.462,150.489324282421,14376.4653813345,13872.0834032923
1990,"WGOA","Kodiak_gully","Pacific_cod","[60,85)",0.0121343901119319,0.942432642135312,1.25741769252816,17779.462,215.742927888269,16755.9453484044,22356.2100824321
1990,"WGOA","Kodiak_shelf","Pacific_cod","[0,20)",1.12108363930685e-05,0.00265130330600643,0.00056658921210267,73935.803,0.82888219102314,196.02623892614,41.8912283679483
1990,"WGOA","Kodiak_shelf","Pacific_cod","[20,30)",0.000751153387136071,0.106941655111263,0.0496547211269214,73935.803,55.5371288540753,7906.81714480032,3671.26167926
1990,"WGOA","Kodiak_shelf","Pacific_cod","[30,60)",0.00862859327763452,0.763540239722428,0.752172398398523,73935.803,637.96197274231,56452.9607466902,55612.4702700307
1990,"WGOA","Kodiak_shelf","Pacific_cod","[60,85)",0.015073874683622,1.09384794323724,1.46900845049146,73935.803,1114.49902905497,80874.5260431435,108612.319400872
1990,"WGOA","Kodiak_shelf","Pacific_cod","[85,999)",0.00394590541508931,0.238146585870644,0.427219708845052,73935.803,291.743685426677,17607.5590580545,31586.8322308851
1990,"WGOA","Kodiak_slope","Pacific_cod","[0,20)",0,0,0,9773.081,0,0,0
1990,"WGOA","Kodiak_slope","Pacific_cod","[30,60)",0.00402500371067725,0.360944455356136,0.411640957694838,9773.081,39.3366872897493,3527.5393986964,4023.00042246922
1990,"WGOA","Kodiak_slope","Pacific_cod","[60,85)",0.00489912309963246,0.408861258302903,0.522156108352178,9773.081,47.8795268816791,3995.8341951562,5103.07394157061
1990,"WGOA","Shumagin_gully","Pacific_cod","[0,20)",0,0,0,6523.558,0,0,0
1990,"WGOA","Shumagin_gully","Pacific_cod","[30,60)",0.00683787694060393,0.69236118364551,0.743457395464641,6523.558,44.6072868188923,4516.65833846014,4849.98743984252
1990,"WGOA","Shumagin_gully","Pacific_cod","[60,85)",0.00569327574617375,0.492738483478762,0.677857385347631,6523.558,37.1404145401577,3214.40807580574,4422.04196904362
1990,"WGOA","Shumagin_gully","Pacific_cod","[85,999)",0.00482912699328905,0.3476096092487,0.638480795298544,6523.558,31.5030900300867,2267.65144729123,4165.16650001618
1990,"WGOA","Shumagin_shelf","Pacific_cod","[0,20)",7.06870053026558e-06,0.00146538463826915,0.000510584122024773,49442.31,0.349492882914555,72.4520015545411,25.2444584422267
1990,"WGOA","Shumagin_shelf","Pacific_cod","[20,30)",8.29806279615112e-05,0.0143718798037213,0.0066751313075563,49442.31,4.1027539316677,710.57893653833,330.033911398904
1990,"WGOA","Shumagin_shelf","Pacific_cod","[30,60)",0.0114171023458821,1.20063565932777,1.22390361709778,49442.31,564.48791348683,59362.200465538,60512.6220466697
1990,"WGOA","Shumagin_shelf","Pacific_cod","[60,85)",0.0161789654012426,1.38758180795839,1.94677481865127,49442.31,799.92542284751,68605.2498994394,96253.04408395
1990,"WGOA","Shumagin_shelf","Pacific_cod","[85,999)",0.00648435011876418,0.462894514553658,0.866003076486679,49442.31,320.601248720475,22886.5740858615,42817.1925686081
