"year","model","species_name","jcat","lbin","prey_guild","cons_tot_prey_vonb","cons_tot_prey_SCI","cons_tot_vonb","cons_tot_SCI","diet_prop_vonb","diet_prop_SCI"
1982,"EBS","Pacific_cod","adu","[20,30)","MISSING",986.358194589082,53.2622489504158,986.358194589082,53.2622489504158,1,1
1982,"EBS","Pacific_cod","adu","[30,60)","MISSING",45402.3373299134,3815.56555703986,45402.3373299134,3815.56555703986,1,1
1982,"EBS","Pacific_cod","adu","[60,85)","MISSING",44547.2749641818,4762.5594373111,44547.2749641818,4762.5594373111,1,1
1982,"EBS","Pacific_cod","adu","[85,999)","MISSING",6326.05140850071,842.923075441588,6326.05140850071,842.923075441588,1,1
1982,"EBS","Pacific_cod","juv","[0,20)","MISSING",750.199203243663,30.1677022055043,750.199203243663,30.1677022055043,1,1
1983,"EBS","Pacific_cod","adu","[20,30)","MISSING",1293.61198021522,80.7930489251552,1293.61198021522,80.7930489251552,1,1
1983,"EBS","Pacific_cod","adu","[30,60)","MISSING",46511.5359908978,4587.46950079613,46511.5359908978,4587.46950079613,1,1
1983,"EBS","Pacific_cod","adu","[60,85)","MISSING",53111.3192594785,6530.84583389529,53111.3192594785,6530.84583389529,1,1
1983,"EBS","Pacific_cod","adu","[85,999)","MISSING",11550.4177975965,1581.25289601477,11550.4177975965,1581.25289601477,1,1
1983,"EBS","Pacific_cod","juv","[0,20)","MISSING",2230.31237194005,108.493830961857,2230.31237194005,108.493830961857,1,1
1984,"EBS","Pacific_cod","adu","[20,30)","Amphipods",657.337660310048,37.213318559739,9032.26378457164,533.062336639726,0.0727766234454835,0.069810444298731
1984,"EBS","Pacific_cod","adu","[20,30)","Atka_mackerel",0,0,9032.26378457164,533.062336639726,0,0
1984,"EBS","Pacific_cod","adu","[20,30)","Copepods",0.140750183866906,0.00803208922811853,9032.26378457164,533.062336639726,1.55830462023625e-05,1.50678235471494e-05
1984,"EBS","Pacific_cod","adu","[20,30)","Detritus",1.75610981457272,0.104716802283353,9032.26378457164,533.062336639726,0.000194426320627659,0.000196443821080022
1984,"EBS","Pacific_cod","adu","[20,30)","Eelpout",24.449244286737,1.09088215917497,9032.26378457164,533.062336639726,0.00270687890321579,0.00204644388506526
1984,"EBS","Pacific_cod","adu","[20,30)","Euphausiids",185.937712628437,11.1042242220055,9032.26378457164,533.062336639726,0.0205859480040922,0.0208310050415555
1984,"EBS","Pacific_cod","adu","[20,30)","Flatfish",1.1838176486049,0.0661399378608841,9032.26378457164,533.062336639726,0.000131065442378578,0.000124075428547084
1984,"EBS","Pacific_cod","adu","[20,30)","Gelatinous",0,0,9032.26378457164,533.062336639726,0,0
1984,"EBS","Pacific_cod","adu","[20,30)","Infauna",192.027378877316,9.83258484435845,9032.26378457164,533.062336639726,0.0212601606261019,0.0184454690727923
1984,"EBS","Pacific_cod","adu","[20,30)","King_crab",0.313094417344097,0.0174925972189486,9032.26378457164,533.062336639726,3.46640028249514e-05,3.28152938532799e-05
1984,"EBS","Pacific_cod","adu","[20,30)","MISC_NA",493.520360418023,33.3729022807888,9032.26378457164,533.062336639726,0.0546397195862486,0.0626060030636606
1984,"EBS","Pacific_cod","adu","[20,30)","MISSING",2032.05531089621,102.298324764878,9032.26378457164,533.062336639726,0.224977409801432,0.191906870422956
1984,"EBS","Pacific_cod","adu","[20,30)","Motile_epifauna",273.126927306921,14.2896937072134,9032.26378457164,533.062336639726,0.0302390335159896,0.0268067967384294
1984,"EBS","Pacific_cod","adu","[20,30)","Octopus",0,0,9032.26378457164,533.062336639726,0,0
1984,"EBS","Pacific_cod","adu","[20,30)","Offal",0,0,9032.26378457164,533.062336639726,0,0
1984,"EBS","Pacific_cod","adu","[20,30)","Pacific_cod",0,0,9032.26378457164,533.062336639726,0,0
1984,"EBS","Pacific_cod","adu","[20,30)","Phyto_microzooplankton",0,0,9032.26378457164,533.062336639726,0,0
1984,"EBS","Pacific_cod","adu","[20,30)","Polychaete",1262.88902608293,70.2373277118134,9032.26378457164,533.062336639726,0.139819767912461,0.131761940178647
1984,"EBS","Pacific_cod","adu","[20,30)","Rockfish",0,0,9032.26378457164,533.062336639726,0,0
1984,"EBS","Pacific_cod","adu","[20,30)","Salmon",0,0,9032.26378457164,533.062336639726,0,0
1984,"EBS","Pacific_cod","adu","[20,30)","Sessile_epifauna",0,0,9032.26378457164,533.062336639726,0,0
1984,"EBS","Pacific_cod","adu","[20,30)","Shelf_demersals",6.23194653819734,0.34817909436852,9032.26378457164,533.062336639726,0.000689965072636869,0.000653167688723504
1984,"EBS","Pacific_cod","adu","[20,30)","Shelf_forage_fish",3.80425841854228,0.212544065131698,9032.26378457164,533.062336639726,0.000421185486748127,0.000398722720632478
1984,"EBS","Pacific_cod","adu","[20,30)","Shrimp",2961.27546434025,199.092645772104,9032.26378457164,533.062336639726,0.327855290209584,0.37348848734489
1984,"EBS","Pacific_cod","adu","[20,30)","Slope_forage_fish",0,0,9032.26378457164,533.062336639726,0,0
1984,"EBS","Pacific_cod","adu","[20,30)","Snow_crab",592.206475534242,33.969879093471,9032.26378457164,533.062336639726,0.0655656754119396,0.0637259036299722
1984,"EBS","Pacific_cod","adu","[20,30)","Squid",0,0,9032.26378457164,533.062336639726,0,0
1984,"EBS","Pacific_cod","adu","[20,30)","Tanner_crab",259.732445320683,14.6872588470877,9032.26378457164,533.062336639726,0.0287560739495167,0.0275526103376051
1984,"EBS","Pacific_cod","adu","[20,30)","Walleye_pollock",84.2758015487176,5.11619009100089,9032.26378457164,533.062336639726,0.00933052926251692,0.00959773320931263
