"year","model","species_name","jcat","lbin","prey_guild","cons_tot_prey_vonb","cons_tot_prey_SCI","cons_tot_vonb","cons_tot_SCI","diet_prop_vonb","diet_prop_SCI"
2007,"EBS","Pacific_cod","adu","[85,999)","Shrimp",5.5687317369845,0.722856877519148,9862.79971869044,1209.78620928444,0.000564619772865458,0.000597507949728323
2007,"EBS","Pacific_cod","adu","[85,999)","Slope_forage_fish",0,0,9862.79971869044,1209.78620928444,0,0
2007,"EBS","Pacific_cod","adu","[85,999)","Snow_crab",0,0,9862.79971869044,1209.78620928444,0,0
2007,"EBS","Pacific_cod","adu","[85,999)","Squid",0,0,9862.79971869044,1209.78620928444,0,0
2007,"EBS","Pacific_cod","adu","[85,999)","Tanner_crab",0,0,9862.79971869044,1209.78620928444,0,0
2007,"EBS","Pacific_cod","adu","[85,999)","Walleye_pollock",812.255192265569,105.435901702772,9862.79971869044,1209.78620928444,0.0823554381547777,0.0871525075204275
2007,"EBS","Pacific_cod","juv","[0,20)","Amphipods",465.296799677862,17.9015239308112,4860.87386177526,201.588535297263,0.0957228706008694,0.0888022917792105
2007,"EBS","Pacific_cod","juv","[0,20)","Copepods",2.08988066153333,0.0761480728801239,4860.87386177526,201.588535297263,0.000429939290950882,0.000377740097014128
2007,"EBS","Pacific_cod","juv","[0,20)","Detritus",14.9341189458965,0.633349438588938,4860.87386177526,201.588535297263,0.00307231155766761,0.00314179294797197
2007,"EBS","Pacific_cod","juv","[0,20)","Eelpout",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Euphausiids",340.700191266632,14.36887522014,4860.87386177526,201.588535297263,0.0700903172875593,0.0712782361305996
2007,"EBS","Pacific_cod","juv","[0,20)","Flatfish",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Gelatinous",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Infauna",29.9904594275294,1.09312242422136,4860.87386177526,201.588535297263,0.00616976705842279,0.00542254261934805
2007,"EBS","Pacific_cod","juv","[0,20)","King_crab",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","MISC_NA",20.7084291248465,0.888321239026043,4860.87386177526,201.588535297263,0.00426022762855309,0.00440660594966933
2007,"EBS","Pacific_cod","juv","[0,20)","MISSING",748.747332705328,30.8712568963808,4860.87386177526,201.588535297263,0.154035540521488,0.153139943453917
2007,"EBS","Pacific_cod","juv","[0,20)","Motile_epifauna",13.0273305908068,0.446474651067074,4860.87386177526,201.588535297263,0.00268003880809387,0.0022147819587493
2007,"EBS","Pacific_cod","juv","[0,20)","Octopus",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Offal",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Pacific_cod",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Phyto_microzooplankton",1.18180269027033,0.0501197340879137,4860.87386177526,201.588535297263,0.000243125562167687,0.000248623930988967
2007,"EBS","Pacific_cod","juv","[0,20)","Polychaete",47.8149968181585,1.81971099917018,4860.87386177526,201.588535297263,0.00983670800309468,0.00902685758635446
2007,"EBS","Pacific_cod","juv","[0,20)","Rockfish",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Salmon",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Sessile_epifauna",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Shelf_demersals",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Shelf_forage_fish",0,0,4860.87386177526,201.588535297263,0,0
