SURVEY,MODEL,STRAT_GROUPS,STRATUM,AREA,PERIMETER,INPFC_AREA,MIN_DEPTH,MAX_DEPTH,DESCRIPTION,SUMMARY_AREA,SUMMARY_DEPTH,SUMMARY_AREA_DEPTH,REGULATORY_AREA_NAME,STRATUM_TYPE
AI,AI,Eastern_Aleutians,513,155.929,NA,Eastern Aleutians,201,300,NW Eastern Aleutians,5699,993,5693,ALEUTIANS,NORTH
AI,AI,Eastern_Aleutians,521,1268.056,NA,Eastern Aleutians,1,100,NE Eastern Aleutians,5699,991,5691,ALEUTIANS,NORTH
AI,AI,Eastern_Aleutians,522,2012.55,NA,Eastern Aleutians,101,200,NE Eastern Aleutians,5699,992,5692,ALEUTIANS,NORTH
AI,AI,Eastern_Aleutians,523,1968.564,NA,Eastern Aleutians,201,300,NE Eastern Aleutians,5699,993,5693,ALEUTIANS,NORTH
AI,AI,Eastern_Aleutians,594,2670.006,NA,Eastern Aleutians,301,500,Combined Eastern Aleutian Islands,5699,994,5694,ALEUTIANS,SOUTH
AI,AI,Eastern_Aleutians,611,1906.756,NA,Eastern Aleutians,1,100,SW Eastern Aleutians,5699,991,5691,ALEUTIANS,SOUTH
AI,AI,Eastern_Aleutians,612,2261.049,NA,Eastern Aleutians,101,200,SW Eastern Aleutians,5699,992,5692,ALEUTIANS,SOUTH
AI,AI,Eastern_Aleutians,613,716.376,NA,Eastern Aleutians,201,300,SW Eastern Aleutians,5699,993,5693,ALEUTIANS,SOUTH
AI,AI,Eastern_Aleutians,614,438.212,NA,Eastern Aleutians,301,500,SW Eastern Aleutians,5699,994,5694,ALEUTIANS,SOUTH
AI,AI,Eastern_Aleutians,621,1740.635,NA,Eastern Aleutians,1,100,SE Eastern Aleutians,5699,991,5691,ALEUTIANS,SOUTH
AI,AI,Eastern_Aleutians,622,1900.189,NA,Eastern Aleutians,101,200,SE Eastern Aleutians,5699,992,5692,ALEUTIANS,SOUTH
AI,AI,Eastern_Aleutians,623,2060.609,NA,Eastern Aleutians,201,300,SE Eastern Aleutians,5699,993,5693,ALEUTIANS,SOUTH
AI,AI,Eastern_Aleutians,624,2574.73,NA,Eastern Aleutians,301,500,SE Eastern Aleutians,5699,994,5694,ALEUTIANS,SOUTH
AI,AI,Southern_Bering,711,1585.64,NA,Southern Bering Sea,1,100,W Southern Bering Sea,799,991,791,S BERING SEA,NORTH
AI,AI,Southern_Bering,712,669.513,NA,Southern Bering Sea,101,200,W Southern Bering Sea,799,992,792,S BERING SEA,NORTH
AI,AI,Southern_Bering,721,2440.256,NA,Southern Bering Sea,1,100,E Southern Bering Sea,799,991,791,S BERING SEA,NORTH
AI,AI,Southern_Bering,722,1179.124,NA,Southern Bering Sea,101,200,E Southern Bering Sea,799,992,792,S BERING SEA,NORTH
AI,AI,Southern_Bering,793,563.858,NA,Southern Bering Sea,201,300,Combined Southern Bering Sea,799,993,793,S BERING SEA,NORTH
AI,AI,Southern_Bering,794,1043.168,NA,Southern Bering Sea,301,500,Combined Southern Bering Sea,799,994,794,S BERING SEA,NORTH
AI,AI,Western_Aleutians,211,3693.321,NA,Western Aleutians,1,100,W Western Aleutians,299,991,291,ALEUTIANS,NEITHER
AI,AI,Western_Aleutians,212,4065.172,NA,Western Aleutians,101,200,W Western Aleutians,299,992,292,ALEUTIANS,NEITHER
AI,AI,Western_Aleutians,213,940.226,NA,Western Aleutians,201,300,W Western Aleutians,299,993,293,ALEUTIANS,NEITHER
AI,AI,Western_Aleutians,214,1711.084,NA,Western Aleutians,301,500,W Western Aleutians,299,994,294,ALEUTIANS,NEITHER
AI,AI,Western_Aleutians,221,1183.328,NA,Western Aleutians,1,100,E Western Aleutians,299,991,291,ALEUTIANS,NEITHER
AI,AI,Western_Aleutians,222,1252.459,NA,Western Aleutians,101,200,E Western Aleutians,299,992,292,ALEUTIANS,NEITHER
AI,AI,Western_Aleutians,223,783.403,NA,Western Aleutians,201,300,E Western Aleutians,299,993,293,ALEUTIANS,NEITHER
AI,AI,Western_Aleutians,224,1561.386,NA,Western Aleutians,301,500,E Western Aleutians,299,994,294,ALEUTIANS,NEITHER
