"year","model","stratum_bin","species_name","lbin","prey_guild","strat_bioen_preycons_t_km2","strat_assim_preycons_t_km2","area","cons_bioen_tons_day","cons_assim_tons_year"
1982,"EBS","InnerNW","P.cod","[0,40)","MISSING",0.0010770188418602,0.178823726746596,41027,44.1868520249986,7336.60103723258
1982,"EBS","InnerNW","P.cod","[40,60)","MISSING",0.00825391315030521,1.09089314240286,41027,338.633294817572,44756.0729533622
1982,"EBS","InnerNW","P.cod","[60,150)","MISSING",0.0058500523648632,0.699805781942377,41027,240.010098373242,28710.9318157499
1982,"EBS","InnerSE","P.cod","[0,40)","MISSING",0.000660791007681827,0.123762914891805,77871,51.4564565591915,9637.54194553976
1982,"EBS","InnerSE","P.cod","[40,60)","MISSING",0.0107973146076904,1.64907473685696,77871,840.797685815462,128415.098833788
1982,"EBS","InnerSE","P.cod","[60,150)","MISSING",0.0146896095440172,2.03361988172114,77871,1143.89458480216,158360.013809507
1982,"EBS","MiddleNW","P.cod","[0,40)","MISSING",0.0017970486845946,0.324378287534858,107822,193.761383270359,34975.1157185834
1982,"EBS","MiddleNW","P.cod","[40,60)","MISSING",0.00690472816594047,1.04426887738677,107822,744.481600308033,112595.158897596
1982,"EBS","MiddleNW","P.cod","[60,150)","MISSING",0.00689666029681783,0.926701282014657,107822,743.611706523493,99918.7856293843
1982,"EBS","MiddleSE","P.cod","[0,40)","MISSING",0.00155915259432917,0.279802517791419,103300,161.060462994203,28903.6000878536
1982,"EBS","MiddleSE","P.cod","[40,60)","MISSING",0.0048247938241873,0.745211861912933,103300,498.401202038548,76980.385335606
1982,"EBS","MiddleSE","P.cod","[60,150)","MISSING",0.00491097031421372,0.651617574578658,103300,507.303233458277,67312.0954539754
1982,"EBS","OuterNW","P.cod","[0,40)","MISSING",0.00074084069844563,0.115970050683325,94563,70.0561189671141,10966.4759027672
1982,"EBS","OuterNW","P.cod","[40,60)","MISSING",0.00656571200037118,0.878658196413799,94563,620.8734238911,83088.555027478
1982,"EBS","OuterNW","P.cod","[60,150)","MISSING",0.0182830824276939,2.13525505068172,94563,1728.90312361002,201916.123357615
1982,"EBS","OuterSE","P.cod","[0,40)","MISSING",0.000439312562346965,0.0620521502952544,38792,17.0418129185634,2407.12701425351
1982,"EBS","OuterSE","P.cod","[40,60)","MISSING",0.00338553657399217,0.414787289901301,38792,131.331734778304,16090.4285498513
1982,"EBS","OuterSE","P.cod","[60,150)","MISSING",0.00751042395419456,0.792533488172196,38792,291.344366031115,30743.9590731758
1982,"EBS",NA,"P.cod","[0,40)","MISSING",0.00113353327234103,0.201156496093007,29522,33.4641692660518,5938.54207765777
