"species_code","species_name","common_name","race_guild","model","bio_90_93_tons","predator","pred_n","pred_full","tot_wt","tot_sci","prey_guild","prey_n","prey_wt","prey_sci","dietprop_wt"
23235,"Oncorhynchus keta","chum salmon","Chum_salmon","WGOA",2100.43642067911,"chum salmon",29,24,323.83,1.81498272730441,"MISC_NA",11,35.703,0.189890088507508,0.110252292869716
23235,"Oncorhynchus keta","chum salmon","Chum_salmon","WGOA",2100.43642067911,"chum salmon",29,24,323.83,1.81498272730441,"Motile_epifauna",3,1.256,0.00811218009180658,0.00387857826637433
23235,"Oncorhynchus keta","chum salmon","Chum_salmon","WGOA",2100.43642067911,"chum salmon",29,24,323.83,1.81498272730441,"Pacific_capelin",2,8,0.040594362745098,0.0247043201679894
23235,"Oncorhynchus keta","chum salmon","Chum_salmon","WGOA",2100.43642067911,"chum salmon",29,24,323.83,1.81498272730441,"Pelagic_amphipods",4,2.139,0.0131786265432099,0.00660531760491616
23235,"Oncorhynchus keta","chum salmon","Chum_salmon","WGOA",2100.43642067911,"chum salmon",29,24,323.83,1.81498272730441,"Squid",3,4.823,0.0265190530088663,0.0148936170212766
23240,"Oncorhynchus nerka","sockeye salmon","Sockeye_salmon","EGOA",33.1486334885488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23240,"Oncorhynchus nerka","sockeye salmon","Sockeye_salmon","WGOA",1007.29655015122,"sockeye salmon",1,1,3,0.0172413793103448,"Gelatinous_carnivores",1,2.97,0.0170689655172414,0.99
23240,"Oncorhynchus nerka","sockeye salmon","Sockeye_salmon","WGOA",1007.29655015122,"sockeye salmon",1,1,3,0.0172413793103448,"Gelatinous_omnivores",1,0.03,0.000172413793103448,0.01
23500,"Scombridae","mackerel unid.","Shelf_forage_fish","EGOA",49.7063448949973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23500,"Scombridae","mackerel unid.","Shelf_forage_fish","WGOA",0.483457918855378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23791,"Cryptacanthodes aleutensis","dwarf wrymouth","Shelf_forage_fish","WGOA",0.555251946366334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23792,"Cryptacanthodes giganteus","giant wrymouth","Shelf_demersals","EGOA",13.4356836205718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23792,"Cryptacanthodes giganteus","giant wrymouth","Shelf_demersals","WGOA",741.292977698258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23800,"Stichaeidae","prickleback unid.","Shelf_forage_fish","EGOA",0.923408758997322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23800,"Stichaeidae","prickleback unid.","Shelf_forage_fish","WGOA",11.6538993024553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23808,"Lumpenus sagitta","snake prickleback","Shelf_forage_fish","EGOA",0.533191614372016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23808,"Lumpenus sagitta","snake prickleback","Shelf_forage_fish","WGOA",34.5535878725224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23836,"Lumpenella longirostris","longsnout prickleback","Shelf_forage_fish","EGOA",0.749659238689484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23836,"Lumpenella longirostris","longsnout prickleback","Shelf_forage_fish","WGOA",124.162503123989,"longsnout prickleback",6,5,0.689,0.00759762952101662,"Infauna",5,0.689,0.00759762952101662,1
23840,"Chirolophis sp.",NA,"Shelf_forage_fish","WGOA",3.53794892418459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23841,"Chirolophis decoratus","decorated warbonnet","Shelf_forage_fish","WGOA",0.808157749668633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23843,"Chirolophis snyderi","bearded warbonnet","Shelf_forage_fish","WGOA",1.57863463194092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23850,"Poroclinus rothrocki","whitebarred prickleback","Shelf_forage_fish","WGOA",1.99785797073401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23862,"Bryozoichthys marjorius","pearly prickleback","Shelf_forage_fish","EGOA",1.76778078863047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23873,"Pholis laeta","crescent gunnel","Shelf_forage_fish","WGOA",1.03949590479351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23932,"Trachipterus altivelis","king-of-the-salmon","Miscellaneous_deep_sea_fish","EGOA",174.870740869008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23932,"Trachipterus altivelis","king-of-the-salmon","Miscellaneous_deep_sea_fish","WGOA",126.465946994109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24001,"Zaprora silenus","prowfish","Shelf_demersals","EGOA",441.77039676959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24001,"Zaprora silenus","prowfish","Shelf_demersals","WGOA",5952.18611063616,"prowfish",18,18,298.5,1.59525314348907,"Cope_UNID",3,0.565,0.0035530612244898,0.001892797319933
24001,"Zaprora silenus","prowfish","Shelf_demersals","WGOA",5952.18611063616,"prowfish",18,18,298.5,1.59525314348907,"Deep-water_flatfish",1,0.102,0.000566666666666667,0.000341708542713568
24001,"Zaprora silenus","prowfish","Shelf_demersals","WGOA",5952.18611063616,"prowfish",18,18,298.5,1.59525314348907,"Gelatinous_carnivores",18,295.4,1.57745371553398,0.989614740368509
24001,"Zaprora silenus","prowfish","Shelf_demersals","WGOA",5952.18611063616,"prowfish",18,18,298.5,1.59525314348907,"Gelatinous_omnivores",1,0.08,0.000380952380952381,0.000268006700167504
24001,"Zaprora silenus","prowfish","Shelf_demersals","WGOA",5952.18611063616,"prowfish",18,18,298.5,1.59525314348907,"MISC_NA",6,1.148,0.00640927704415099,0.00384589614740369
24001,"Zaprora silenus","prowfish","Shelf_demersals","WGOA",5952.18611063616,"prowfish",18,18,298.5,1.59525314348907,"Motile_epifauna",4,1.131,0.00639613730549691,0.00378894472361809
24001,"Zaprora silenus","prowfish","Shelf_demersals","WGOA",5952.18611063616,"prowfish",18,18,298.5,1.59525314348907,"Mysids",1,0.074,0.000493333333333333,0.000247906197654941
24100,"Zoarcidae","eelpout unid.","Slope_demersals","EGOA",55.0571162840731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24100,"Zoarcidae","eelpout unid.","Slope_demersals","WGOA",110.246927129383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24111,"Bothrocara pusillum","Alaska eelpout","Slope_demersals","EGOA",0.151356914960838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24140,"Lycodes cortezianus","bigfin eelpout","Slope_demersals","EGOA",3.7732012524959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24160,"Lycodapus fierasfer","blackmouth eelpout","Slope_demersals","EGOA",0.130643646147587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24180,"Lycodes sp.",NA,"Slope_demersals","EGOA",20.9100653279366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24185,"Lycodes palearis","wattled eelpout","Slope_demersals","EGOA",381.050664589627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24185,"Lycodes palearis","wattled eelpout","Slope_demersals","WGOA",536.893329700741,"wattled eelpout",3,2,4.661,0.0390916666666667,"Motile_epifauna",1,0.37,0.00333333333333333,0.0793821068440249
24185,"Lycodes palearis","wattled eelpout","Slope_demersals","WGOA",536.893329700741,"wattled eelpout",3,2,4.661,0.0390916666666667,"Slope_demersals",1,4.291,0.0357583333333333,0.920617893155975
24191,"Lycodes brevipes","shortfin eelpout","Slope_demersals","EGOA",54.6530213660104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24191,"Lycodes brevipes","shortfin eelpout","Slope_demersals","WGOA",414.07285614128,"shortfin eelpout",18,18,1.109,0.0161690857538001,"Euphausiids",1,0.018,0.00025,0.0162308385933273
24191,"Lycodes brevipes","shortfin eelpout","Slope_demersals","WGOA",414.07285614128,"shortfin eelpout",18,18,1.109,0.0161690857538001,"Infauna",14,0.899,0.0128566121226766,0.810640216411181
24191,"Lycodes brevipes","shortfin eelpout","Slope_demersals","WGOA",414.07285614128,"shortfin eelpout",18,18,1.109,0.0161690857538001,"Motile_epifauna",1,0.102,0.00178947368421053,0.0919747520288548
24191,"Lycodes brevipes","shortfin eelpout","Slope_demersals","WGOA",414.07285614128,"shortfin eelpout",18,18,1.109,0.0161690857538001,"Mysids",3,0.09,0.00127299994691299,0.0811541929666366
24195,"Lycodes beringi","Bering eelpout","Slope_demersals","EGOA",0.951449868804667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24195,"Lycodes beringi","Bering eelpout","Slope_demersals","WGOA",1.650569661065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24200,"Lycodes pacificus","blackbelly eelpout","Slope_demersals","EGOA",18.2371318201463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24220,"Bothrocara sp.",NA,"Slope_demersals","EGOA",10.0982376218122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28532,"Howella sherborni","Sherborn cardinalfish","Miscellaneous_deep_sea_fish","WGOA",0.497495065213608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30010,"Sebastolobus sp.","thornyhead unid.","Thornyheads","EGOA",2.53142393637103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30020,"Sebastolobus alascanus","shortspine thornyhead","Thornyheads","EGOA",14398.1996525965,"shortspine thornyhead",119,81,280.471,2.78875415917749,"Benthic_detritus",1,0.6,0.0105263157894737,0.00213925860427638
30020,"Sebastolobus alascanus","shortspine thornyhead","Thornyheads","EGOA",14398.1996525965,"shortspine thornyhead",119,81,280.471,2.78875415917749,"Euphausiids",6,1.305,0.0212026916622505,0.00465288746430112
30020,"Sebastolobus alascanus","shortspine thornyhead","Thornyheads","EGOA",14398.1996525965,"shortspine thornyhead",119,81,280.471,2.78875415917749,"Infauna",16,34.3154,0.341189744767835,0.122349191181976
30020,"Sebastolobus alascanus","shortspine thornyhead","Thornyheads","EGOA",14398.1996525965,"shortspine thornyhead",119,81,280.471,2.78875415917749,"MISC_NA",42,20.169,0.183352864920923,0.0719111779827504
30020,"Sebastolobus alascanus","shortspine thornyhead","Thornyheads","EGOA",14398.1996525965,"shortspine thornyhead",119,81,280.471,2.78875415917749,"Motile_epifauna",53,60.6946,0.710983295156827,0.216402408805188
30020,"Sebastolobus alascanus","shortspine thornyhead","Thornyheads","EGOA",14398.1996525965,"shortspine thornyhead",119,81,280.471,2.78875415917749,"Mysids",8,3.389,0.0356445981180081,0.0120832456831544
30020,"Sebastolobus alascanus","shortspine thornyhead","Thornyheads","EGOA",14398.1996525965,"shortspine thornyhead",119,81,280.471,2.78875415917749,"Octopus",2,12.713,0.122481116584565,0.0453273243936093
30020,"Sebastolobus alascanus","shortspine thornyhead","Thornyheads","EGOA",14398.1996525965,"shortspine thornyhead",119,81,280.471,2.78875415917749,"Pandalid_shrimp",12,72.941,0.692324108586269,0.260066103090872
