"year","model","stratum_bin","species_name","lbin","prey_guild","strat_bioen_preycons_t_km2","strat_assim_preycons_t_km2","area","cons_bioen_tons_day","cons_assim_tons_year"
1982,"EBS","NW_corner","P.cod","[0,40)","MISSING",0.00113353327234103,0.201156496093007,29522,33.4641692660518,5938.54207765777
1982,"EBS","NW_corner","P.cod","[40,60)","MISSING",0.00818819333563492,1.2254970206282,29522,241.731843654614,36179.1230429856
1982,"EBS","NW_corner","P.cod","[60,150)","MISSING",0.0149077522416548,2.01493215814873,29522,440.106661678133,59484.8271728669
1982,"EBS","NW_inner","P.cod","[0,40)","MISSING",0.0010770188418602,0.178823726746596,41027,44.1868520249986,7336.60103723258
1982,"EBS","NW_inner","P.cod","[40,60)","MISSING",0.00825391315030521,1.09089314240286,41027,338.633294817572,44756.0729533622
1982,"EBS","NW_inner","P.cod","[60,150)","MISSING",0.0058500523648632,0.699805781942377,41027,240.010098373242,28710.9318157499
1982,"EBS","NW_middle","P.cod","[0,40)","MISSING",0.00168037687334874,0.32581822385623,62703,105.364671089586,20429.7800904572
1982,"EBS","NW_middle","P.cod","[40,60)","MISSING",0.00863809589667313,1.39374541698623,62703,541.634527009095,87392.0188812876
1982,"EBS","NW_middle","P.cod","[60,150)","MISSING",0.00814199539435837,1.17385761864385,62703,510.527537212453,73604.394261825
1982,"EBS","NW_outer","P.cod","[0,40)","MISSING",0.000590281091502055,0.0907013922850309,88134,52.0238337184421,7993.87650764891
1982,"EBS","NW_outer","P.cod","[40,60)","MISSING",0.0058875640621409,0.779150964272212,88134,518.894571052726,68669.6910851672
1982,"EBS","NW_outer","P.cod","[60,150)","MISSING",0.0187464010424836,2.16193835330181,88134,1652.19530947825,190540.274829902
1982,"EBS","Pribs","P.cod","[0,40)","MISSING",0.00175447672868396,0.271498687802087,32785,57.5205195499035,8901.08447959143
1982,"EBS","Pribs","P.cod","[40,60)","MISSING",0.00402301523892604,0.536056404362516,32785,131.89455460819,17574.6092170251
1982,"EBS","Pribs","P.cod","[60,150)","MISSING",0.00498778645617654,0.573529178428823,32785,163.524578965748,18803.154114789
1982,"EBS","SE_inner","P.cod","[0,40)","MISSING",0.000660791007681827,0.123762914891805,77871,51.4564565591915,9637.54194553976
1982,"EBS","SE_inner","P.cod","[40,60)","MISSING",0.0107973146076904,1.64907473685696,77871,840.797685815462,128415.098833788
1982,"EBS","SE_inner","P.cod","[60,150)","MISSING",0.0146896095440172,2.03361988172114,77871,1143.89458480216,158360.013809507
1982,"EBS","SE_middle","P.cod","[0,40)","MISSING",0.00161130555094671,0.294904405906323,94526,152.310268508789,27876.1338727011
1982,"EBS","SE_middle","P.cod","[40,60)","MISSING",0.00498169501616278,0.784919594612343,94526,470.899703097803,74195.3096003263
1982,"EBS","SE_middle","P.cod","[60,150)","MISSING",0.0049336627106613,0.668101886793853,94526,466.35940138797,63152.9989510758
1982,"EBS","SE_outer","P.cod","[0,40)","MISSING",0.000439312562346965,0.0620521502952544,38792,17.0418129185634,2407.12701425351
1982,"EBS","SE_outer","P.cod","[40,60)","MISSING",0.00338553657399217,0.414787289901301,38792,131.331734778304,16090.4285498513
1982,"EBS","SE_outer","P.cod","[60,150)","MISSING",0.00751042395419456,0.792533488172196,38792,291.344366031115,30743.9590731758
1982,"EBS","StMatt","P.cod","[0,40)","MISSING",0.00175662379614225,0.34689581701863,27537,48.3721494743691,9552.470113242
1982,"EBS","StMatt","P.cod","[40,60)","MISSING",0.00794360692594949,1.29380293010315,27537,218.743103919871,35627.4512862503
1982,"EBS","StMatt","P.cod","[60,150)","MISSING",0.00764166841285541,1.10805568910581,27537,210.428623084799,30512.5295109067
1983,"EBS","NW_inner","P.cod","[0,40)","MISSING",0.00279933250851851,0.473897084360226,41027,114.848214826989,19442.575680047
1983,"EBS","NW_inner","P.cod","[40,60)","MISSING",0.0248780517441484,2.86238093567818,41027,1020.67182890718,117434.902648069
1983,"EBS","NW_inner","P.cod","[60,150)","MISSING",0.0230609055937487,2.38999339143336,41027,946.119773794728,98054.2588703365
1983,"EBS","NW_middle","P.cod","[0,40)","MISSING",0.00030056156479869,0.0634541977637606,62703,18.8461117975723,3978.76856238108
1983,"EBS","NW_middle","P.cod","[40,60)","MISSING",0.00653216702734019,1.10041511498353,62703,409.586469115312,68999.3289548125
1983,"EBS","NW_middle","P.cod","[60,150)","MISSING",0.00589909143962029,0.884166019387944,62703,369.890730538511,55439.8619136822
1983,"EBS","NW_outer","P.cod","[0,40)","MISSING",6.90117571621538e-05,0.0123599678450013,88134,6.08228220572926,1089.33340605134
1983,"EBS","NW_outer","P.cod","[40,60)","MISSING",0.00371815838562416,0.50681697644683,88134,327.6961711586,44667.8074021649
1983,"EBS","NW_outer","P.cod","[60,150)","MISSING",0.0147728447618442,1.77289205814617,88134,1301.98990024037,156252.068652654
1983,"EBS","Pribs","P.cod","[0,40)","MISSING",0.00239470110302831,0.379072916164714,32785,78.5102756627832,12427.9055564601
1983,"EBS","Pribs","P.cod","[40,60)","MISSING",0.00367871904793173,0.494204293508758,32785,120.606803986442,16202.4877626846
1983,"EBS","Pribs","P.cod","[60,150)","MISSING",0.00367696421019149,0.425178512966878,32785,120.549271631128,13939.4775476191
1983,"EBS","SE_inner","P.cod","[0,40)","MISSING",0.00238770233409151,0.348913693232555,77871,185.93276845804,27170.2582057123
1983,"EBS","SE_inner","P.cod","[40,60)","MISSING",0.0186283946260481,2.10068689271936,77871,1450.61171792499,163582.589022949
