"year","model","species_name","jcat","bio_tons","model_area","bio_tkm2"
1996,"EGOA","POP","adu",503710.164806503,85237.199,5.90951099656035
1996,"EGOA","POP","juv",722.272723482959,85237.199,0.00847367970741224
1996,"EGOA","Rex_sole","adu",26989.6349843714,85237.199,0.316641505129367
1996,"EGOA","Rex_sole","juv",139.677633626134,85237.199,0.00163869337876922
1996,"EGOA","Sablefish","adu",57915.0407750217,85237.199,0.679457343207884
1996,"EGOA","Sablefish","juv",1.02450134261038,85237.199,1.20194158727621e-05
1996,"EGOA","Thornyheads","adu",38781.9284754319,85237.199,0.454988302412799
1996,"EGOA","Thornyheads","juv",2073.40977325766,85237.199,0.0243251748952668
1996,"EGOA","Walleye_pollock","adu",93347.6427654062,85237.199,1.09515145805538
1996,"EGOA","Walleye_pollock","juv",13861.6907799468,85237.199,0.162624897844741
1999,"EGOA","Arrowtooth_flounder","adu",361227.14274433,85237.199,4.23790489342957
1999,"EGOA","Arrowtooth_flounder","juv",572.817242182251,85237.199,0.00672027294306387
1999,"EGOA","Flathead_sole","adu",41077.1385850499,85237.199,0.481915631519637
1999,"EGOA","Flathead_sole","juv",183.685919941041,85237.199,0.00215499713852681
1999,"EGOA","Pacific_cod","adu",73260.6191473979,85237.199,0.859491161217039
1999,"EGOA","Pacific_cod","juv",3.68453546534055,85237.199,4.32268482372414e-05
1999,"EGOA","Pacific_halibut","adu",115235.446071308,85237.199,1.35193844264295
1999,"EGOA","Pacific_halibut","juv",4.91750536581603,85237.199,5.76920103371303e-05
1999,"EGOA","POP","adu",145797.362207657,85237.199,1.71048983211728
1999,"EGOA","POP","juv",954.573214398552,85237.199,0.0111990213850006
1999,"EGOA","Rex_sole","adu",23076.1410847231,85237.199,0.270728524112144
1999,"EGOA","Rex_sole","juv",147.985594943707,85237.199,0.001736162106215
1999,"EGOA","Sablefish","adu",80157.3287820528,85237.199,0.940403130586832
1999,"EGOA","Sablefish","juv",0,85237.199,0
1999,"EGOA","Thornyheads","adu",39397.2605478291,85237.199,0.462207357938042
1999,"EGOA","Thornyheads","juv",2417.97212259512,85237.199,0.028367568983527
1999,"EGOA","Walleye_pollock","adu",79839.4557361159,85237.199,0.936673854523492
1999,"EGOA","Walleye_pollock","juv",2845.76562740238,85237.199,0.0333864282354279
2003,"EGOA","Arrowtooth_flounder","adu",375415.276225612,85237.199,4.4043596062514
2003,"EGOA","Arrowtooth_flounder","juv",3599.5539179987,85237.199,0.0422298475340409
2003,"EGOA","Flathead_sole","adu",37556.2703526525,85237.199,0.440608921847051
2003,"EGOA","Flathead_sole","juv",461.005750878773,85237.199,0.00540850422453198
2003,"EGOA","Pacific_cod","adu",60468.4788676043,85237.199,0.709414194471645
2003,"EGOA","Pacific_cod","juv",3.84411598656548,85237.199,4.50990416351608e-05
2003,"EGOA","Pacific_halibut","adu",254265.923697494,85237.199,2.98303940862128
