"","sp_prey","AK Plaice","butter sole","English sole","N. Rock sole","Northern Rock","sand sole","slender sole","southern rock sole","starry flounder","YF. Sole"
"78","Misc. Worm. Etc.",NA,NA,0.0759630470555233,NA,NA,NA,NA,0.0456053066106038,NA,NA
"79","Mud Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"80","Myctophidae",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"81","Mysid",NA,NA,0.00384607792762861,NA,NA,NA,NA,0,NA,NA
"82","N Rock Sole",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"83","Northern Rock",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"84","NP Shrimp",NA,NA,0,NA,NA,NA,NA,0.00501105436231268,NA,NA
"85","Octopus",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"86","Offal",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"87","Okhotsk Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"88","Opilo",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"89","Oth pel. smelt",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"90","Oth pel. Smelt",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"91","P. Cod",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"92","P. Halibut",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"93","Pacific Grenadier",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"94","Pandalidae",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"95","Pel Amph",NA,NA,0.000481777000568831,NA,NA,NA,NA,0.000338562754088035,NA,NA
"96","Pel. Gel. Filter Feeder",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"97","Polychaete",NA,NA,0.786046572733181,NA,NA,NA,NA,0.224276998235676,NA,NA
"98","POP",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"99","Prickle squish deep",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"100","Prickle squish round",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"101","Protozoan",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"102","Pteropod",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"103","Ratfish",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"104","Rex sole",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"105","Rougheye Rock",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"106","S Rock Sole",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"107","Sablefish",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"108","Salmon",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"109","Sandlance",NA,NA,0,NA,NA,NA,NA,0.0594970923140778,NA,NA
"110","Sculpin",NA,NA,0,NA,NA,NA,NA,0.000850455667851157,NA,NA
"111","Scypho Jellies",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"112","Sea Pens",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"113","Sea Star",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"114","Sebastes",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"115","Sharpchin Rock",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"116","Shortraker Rock",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"117","Shortsp Thorny",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"118","Sleeper Shark",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"119","Snail",NA,NA,0.00247589099891483,NA,NA,NA,NA,0.00403070067335074,NA,NA
"120","Sponge",NA,NA,0,NA,NA,NA,NA,0.000511133832369978,NA,NA
"121","Squid",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"122","Unid Bathyraja",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"123","Unid Chion",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"124","Unid Rajidae",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"125","Urchins dollars cucumbers",NA,NA,0.00194510229116693,NA,NA,NA,NA,0.031818922359533,NA,NA
"126","W. Pollock",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"127","Whitebrow Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"128","WhtBlotch Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"129","Widow Rock",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"130","Yellowtail Rock",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"131","YF Sole",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"132",NA,0,0,0,0,0,0,0,0,0,0
